date,open,high,low,close,adj_close,volume,dividends,stock_splits,ticker,ret_1d,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_sadness,nrc_surprise,nrc_trust,nrc_positive,nrc_negative,nrc_net_sentiment,hf_very_negative_score,hf_negative_score,hf_neutral_score,hf_very_positive_score,hf_positive_score,fb_neutral_score,fb_positive_score,fb_negative_score,fb_net_sentiment,n_calendar_source_days,n_posts,nrc_anger_lag1,nrc_anticipation_lag1,nrc_disgust_lag1,nrc_fear_lag1,nrc_joy_lag1,nrc_sadness_lag1,nrc_surprise_lag1,nrc_trust_lag1,nrc_positive_lag1,nrc_negative_lag1,nrc_net_sentiment_lag1,hf_very_negative_score_lag1,hf_negative_score_lag1,hf_neutral_score_lag1,hf_very_positive_score_lag1,hf_positive_score_lag1,fb_neutral_score_lag1,fb_positive_score_lag1,fb_negative_score_lag1,fb_net_sentiment_lag1,nrc_net_sentiment_ew,nrc_net_sentiment_ew_lag1,soxx_ret_1d,spy_ret_1d,vix_ret_1d
2023-01-03,66.0,66.87999725341797,63.59000015258789,64.0199966430664,64.0199966430664,46851800.0,,,AMD,,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333337,1.6666666666666663,0.3333333333333333,1.3333333333333337,0.0493,0.0779,0.3754999999999999,0.2100833333333333,0.28725,0.7424333333333335,0.2161833333333332,0.0413333333333333,0.17485,2.0,,,,,,,,,,,,,,,,,,,,,,1.3333333333333337,,,,
2023-01-04,65.0,65.79000091552734,63.310001373291016,64.66000366210938,64.66000366210938,47477100.0,,,AMD,0.0099969861387407,0.125,0.375,0.125,0.125,0.125,0.125,0.0,0.25,0.5,0.125,0.375,0.0538,0.10655,0.6704125,0.0607625,0.1084625,0.875075,0.0669375,0.058025,0.0089125,1.0,,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333337,1.6666666666666663,0.3333333333333333,1.3333333333333337,0.0493,0.0779,0.3754999999999999,0.2100833333333333,0.28725,0.7424333333333335,0.2161833333333332,0.0413333333333333,0.17485,0.375,1.3333333333333337,0.0257407810689445,0.007720090885966,-0.0388646028154632
2023-01-05,64.1500015258789,64.3499984741211,62.29999923706055,62.33000183105469,62.33000183105469,46159500.0,,,AMD,-0.0360346690239992,0.2,0.2,0.0,0.2,0.3,0.3,0.1,0.5,0.5,0.4,0.1,0.04721,0.1321,0.71472,0.03929,0.06671,0.79999,0.08639,0.11359,-0.0272,1.0,,0.125,0.375,0.125,0.125,0.125,0.125,0.0,0.25,0.5,0.125,0.375,0.0538,0.10655,0.6704125,0.0607625,0.1084625,0.875075,0.0669375,0.058025,0.0089125,0.1,0.375,-0.0168619622461467,-0.0114134872761889,0.0204451999505355
2023-01-06,63.150001525878906,64.30000305175781,60.04999923706055,63.959999084472656,63.959999084472656,70161300.0,,,AMD,0.0261510862431237,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0223666666666666,0.036,0.7948,0.0857666666666666,0.0610666666666666,0.9167,0.0665,0.0168666666666666,0.0496333333333333,1.0,,0.2,0.2,0.0,0.2,0.3,0.3,0.1,0.5,0.5,0.4,0.1,0.04721,0.1321,0.71472,0.03929,0.06671,0.79999,0.08639,0.11359,-0.0272,0.0,0.1,0.0465323856582851,0.022932010768079,-0.0592163837008136
2023-01-09,66.22000122070312,69.31999969482422,65.66999816894531,67.23999786376953,67.23999786376953,69741300.0,,,AMD,0.0512820329306906,0.4464285714285714,0.5178571428571428,0.0,0.0714285714285714,0.3392857142857142,0.0,0.5178571428571428,0.4642857142857142,0.9285714285714286,0.1964285714285714,0.7321428571428572,0.1131374999999999,0.1356214285714285,0.5664053571428571,0.0843517857142857,0.1004642857142857,0.7003482142857143,0.2629446428571428,0.0366892857142857,0.2262553571428571,2.0,,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0223666666666666,0.036,0.7948,0.0857666666666666,0.0610666666666666,0.9167,0.0665,0.0168666666666666,0.0496333333333333,0.7321428571428572,0.0,0.0184233013331436,-0.0005667417810752,0.0397539132016422
2023-01-10,66.66999816894531,68.1500015258789,66.55999755859375,68.05000305175781,68.05000305175781,41149600.0,,,AMD,0.012046478490814,0.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.0,0.6666666666666666,2.0,1.6666666666666667,0.0,1.6666666666666667,0.0175666666666666,0.0274,0.8661,0.0403666666666666,0.0486,0.7153333333333333,0.2727333333333333,0.0119333333333333,0.2608,1.0,,0.4464285714285714,0.5178571428571428,0.0,0.0714285714285714,0.3392857142857142,0.0,0.5178571428571428,0.4642857142857142,0.9285714285714286,0.1964285714285714,0.7321428571428572,0.1131374999999999,0.1356214285714285,0.5664053571428571,0.0843517857142857,0.1004642857142857,0.7003482142857143,0.2629446428571428,0.0366892857142857,0.2262553571428571,1.6666666666666667,0.7321428571428572,0.0129330123728033,0.0070129026772209,-0.0632680670501215
2023-01-11,68.38999938964844,69.12999725341797,67.22000122070312,69.05999755859375,69.05999755859375,44470100.0,,,AMD,0.0148419465325777,0.25,1.0,0.5,0.75,1.0,0.5,0.25,1.75,1.5,1.0,0.5,0.23985,0.074325,0.61645,0.03455,0.0348,0.756675,0.10025,0.14305,-0.0428,1.0,,0.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.0,0.6666666666666666,2.0,1.6666666666666667,0.0,1.6666666666666667,0.0175666666666666,0.0274,0.8661,0.0403666666666666,0.0486,0.7153333333333333,0.2727333333333333,0.0119333333333333,0.2608,0.5,1.6666666666666667,0.012901028375243,0.0126477756789482,0.0247813523213071
2023-01-12,70.06999969482422,71.6500015258789,67.18000030517578,70.80000305175781,70.80000305175781,70066200.0,,,AMD,0.0251955626220194,0.0,0.2,0.0,0.0,0.6,0.0,0.4,1.0,1.8,0.2,1.6,0.06568,0.0908,0.72574,0.0464,0.07138,0.7689999999999999,0.0859399999999999,0.14504,-0.0591,1.0,,0.25,1.0,0.5,0.75,1.0,0.5,0.25,1.75,1.5,1.0,0.5,0.23985,0.074325,0.61645,0.03455,0.0348,0.756675,0.10025,0.14305,-0.0428,1.6,0.5,0.012158022478494,0.0036407242460854,-0.1071598014476314
2023-01-13,69.83999633789062,71.0999984741211,69.2300033569336,71.0,71.0,45757400.0,,,AMD,0.0028248155313777,0.5,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.1666666666666667,0.5,0.6666666666666666,0.1689833333333333,0.1940833333333333,0.37575,0.1738166666666666,0.0873666666666666,0.8443166666666667,0.1118333333333333,0.0438333333333333,0.0679999999999999,1.0,,0.0,0.2,0.0,0.0,0.6,0.0,0.4,1.0,1.8,0.2,1.6,0.06568,0.0908,0.72574,0.0464,0.07138,0.7689999999999999,0.0859399999999999,0.14504,-0.0591,0.6666666666666666,1.6,0.0041339228988201,0.0038795687300841,-0.025491213180093
2023-01-17,70.87000274658203,72.66000366210938,70.6500015258789,71.58999633789062,71.58999633789062,42621300.0,,,AMD,0.0083098075759242,0.1875,0.6875,0.125,0.25,0.5625,0.1875,0.75,1.1875,1.25,0.625,0.625,0.01983125,0.0445749999999999,0.76909375,0.0473749999999999,0.1191499999999999,0.6829000000000001,0.1587062499999999,0.1583937499999999,0.0003124999999999,4.0,,0.5,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.1666666666666667,0.5,0.6666666666666666,0.1689833333333333,0.1940833333333333,0.37575,0.1738166666666666,0.0873666666666666,0.8443166666666667,0.1118333333333333,0.0438333333333333,0.0679999999999999,0.625,0.6666666666666666,0.0011393750786725,-0.0018319129590507,0.0550408832635098
