dataset,spec,n,r2,coef_sentiment,se_sentiment,t_sentiment,pvalue_sentiment,hac_maxlags,note
firm_NVDA_hf,A_bivariate,580,0.0008498157156814345,0.013451063696582654,0.017175993876530644,0.7831316075957764,0.4335498318801595,5,
firm_NVDA_hf,B_plus_soxx_spy_vix,580,0.6006910720678815,0.0052438685538899,0.00980069726046116,0.5350505596214239,0.5926148961892482,5,
firm_AMD_hf,A_bivariate,587,0.00047445123979250603,0.008646681557154095,0.014669793724853922,0.5894208002737404,0.5555790266278373,5,
firm_AMD_hf,B_plus_soxx_spy_vix,587,0.6450952274547603,-0.001067254571333278,0.009979976853864935,-0.10693958382478246,0.9148369098821008,5,
firm_INTC_hf,A_bivariate,585,0.020779802528123392,0.04799548628653765,0.019443197203961593,2.468497633545499,0.013568154920209846,5,
firm_INTC_hf,B_plus_soxx_spy_vix,585,0.3454668531966234,0.02659382411297751,0.01580239185255151,1.6828986625011186,0.09239471056988843,5,
universe_pooled_hf,A_bivariate,595,0.0031204702080216418,0.040235607003096904,0.028712805947443156,1.4013122603463226,0.1611207164960784,5,
universe_pooled_hf,B_plus_soxx_spy_vix,595,0.9688573318167848,0.013030831219433058,0.00542814007137339,2.40060703078653,0.016367903307558523,5,
pooled_broad_x_SOXX_return,A_bivariate,595,0.0015043563863166298,0.026750430388752112,0.028421107687554306,0.941217023728678,0.34659365447234036,5,
pooled_broad_x_SOXX_return,B_plus_other_benchmark_controls,595,0.6761828106387516,0.003328916750249284,0.013698042886181443,0.24302134092509584,0.8079888652818012,5,
pooled_broad_x_SPY_return,A_bivariate,595,0.0017261773853998186,0.012980179717933908,0.014582157357827294,0.8901412458676089,0.3733900481943421,5,
pooled_broad_x_SPY_return,B_plus_other_benchmark_controls,595,0.7870227287959518,0.0013282762024449807,0.004935287811540419,0.26913854939503407,0.7878230663658876,5,
stacked_NVDA_AMD_INTC,A_bivariate_plus_ticker_dummies,1752,0.006466727137819039,0.026029877054606,0.010773985868187307,2.415993242711154,0.015692352563070836,7,HAC on sorted rows; panel clustering optional follow-up
stacked_NVDA_AMD_INTC,B_plus_controls_and_ticker_dummies,1752,0.5208395114940123,0.009138227895404449,0.008272573479896532,1.1046414900528323,0.26931496553737755,7,
