ticker,sentiment,predictor,window,n_insample,r2_insample,coef,se_hac,t_hac,pvalue,mse_oos_last20pct
NVDA,NRC_net,lag1_prevday_sent,15,582,0.0004334511325005952,-0.0028848267215582776,0.005406795365200573,-0.5335557435973464,0.5936489344627297,0.0016486778260711827
NVDA,NRC_net,roll15_mean_sent,15,574,0.00019903209324734217,0.007662597577874117,0.02180501333212288,0.3514144871714282,0.7252774154153152,0.0016480390701596446
NVDA,HF_net_4,lag1_prevday_sent,15,582,0.005802019679180148,0.03473534905422941,0.015315184510271246,2.2680333384775015,0.023327174777016443,0.0016439335765531696
NVDA,HF_net_4,roll15_mean_sent,15,574,0.0014801032922359125,0.05366160305657581,0.05019039002766661,1.0691609096282326,0.28499716951846266,0.0016426012721855057
NVDA,FB_net,lag1_prevday_sent,15,582,0.00010429100307018935,-0.005033314702966832,0.027530020559399827,-0.18283003792557145,0.854931378987619,0.0016720203778566435
NVDA,FB_net,roll15_mean_sent,15,574,0.0001125396190010397,0.02092918170099147,0.08207803068954038,0.25499127507281416,0.7987298380279655,0.0016626591425993925
AMD,NRC_net,lag1_prevday_sent,15,587,0.0025109595065110346,-0.007793337904991417,0.00581410788692062,-1.3404185227665382,0.18010931709718525,0.0013637103965182167
AMD,NRC_net,roll15_mean_sent,15,579,0.0021069995876814573,-0.02554336641194307,0.020568336711436853,-1.2418780755246919,0.21428155042528352,0.0013764560475512185
AMD,HF_net_4,lag1_prevday_sent,15,587,0.0013854238978958655,-0.01482128570650821,0.012381292899139772,-1.197070922014773,0.23127891257688948,0.001375433402514064
AMD,HF_net_4,roll15_mean_sent,15,579,0.0008387480174948392,-0.022928107339660674,0.027749698391953303,-0.8262470826100666,0.40866394488371016,0.0013789476518935163
AMD,FB_net,lag1_prevday_sent,15,587,0.00033806769224020705,-0.00587734997550886,0.011964116214714103,-0.49124815155845647,0.62325094617271,0.0013647634880554085
AMD,FB_net,roll15_mean_sent,15,579,0.011454564161363479,-0.07809411826030568,0.02966588077811056,-2.632455744173578,0.008477006616544764,0.0013726099154883434
INTC,NRC_net,lag1_prevday_sent,15,588,0.0012547920931926804,0.003445074116399141,0.0035448887872760104,0.9718426509640745,0.33112883384075176,0.0018201161202477279
INTC,NRC_net,roll15_mean_sent,15,580,0.0013627172564424361,0.011616618326869122,0.019456389075324872,0.5970593146495841,0.55046778006725,0.0018570816579520201
INTC,HF_net_4,lag1_prevday_sent,15,588,0.0009253392092073431,-0.010658273592289935,0.015862468891386115,-0.6719176986425963,0.5016360924062871,0.0018176769842002964
INTC,HF_net_4,roll15_mean_sent,15,580,0.0005820635765783067,0.019234223550945798,0.04114168813517626,0.4675117726756691,0.6401337712545327,0.001847386256656814
INTC,FB_net,lag1_prevday_sent,15,588,7.769384214151298e-05,0.0023785384406091953,0.011360496026899104,0.20936924188674072,0.8341600020693283,0.0018222840141458403
INTC,FB_net,roll15_mean_sent,15,580,0.0011742989100952395,0.0273695041960662,0.05132086929476011,0.5333016484750122,0.5938247867301408,0.0018533568382903402
