ticker,sentiment,target,model,n,accuracy_insample,baseline_accuracy_insample,acc_minus_baseline_insample,pseudo_r2_mcfadden,llf,auc_insample,time_split_accuracy,time_split_baseline_accuracy,time_split_acc_minus_baseline,time_split_auc,time_split_n_train,time_split_n_test,walkforward_accuracy,walkforward_baseline_accuracy,walkforward_acc_minus_baseline,walkforward_auc,walkforward_n_predictions
NVDA,NRC_net,next_day,logit_level_lag1,583,0.548885077186964,0.5523156089193825,-0.0034305317324184736,0.002625640858682443,-399.8550660829596,0.5272423312153447,0.5068493150684932,0.5068493150684932,0.0,0.47250375375375375,437.0,146.0,0.5428571428571428,0.5532467532467532,-0.010389610389610393,0.5087072824544164,385.0
NVDA,NRC_net,next_day,logit_level_plus_trend5,578,0.5467128027681661,0.5501730103806228,-0.0034602076124566894,0.0026791323081741814,-396.6585767338681,0.5280841799709723,0.496551724137931,0.503448275862069,-0.006896551724137945,0.4678462709284627,433.0,145.0,0.5289473684210526,0.55,-0.021052631578947434,0.5016928285626346,380.0
NVDA,NRC_net,next_day,logit_level_plus_trend10,573,0.5410122164048866,0.5497382198952879,-0.008726003490401313,0.004307282162803405,-392.63505563196463,0.5301341208317952,0.5208333333333334,0.5069444444444444,0.01388888888888895,0.497009453984179,429.0,144.0,0.544,0.544,0.0,0.521155830753354,375.0
NVDA,NRC_net,next_day,logit_level_plus_trend15,568,0.5404929577464789,0.545774647887324,-0.005281690140845119,0.004870614255460093,-389.41799255693854,0.5432483120780196,0.5070422535211268,0.5070422535211268,0.0,0.47003968253968254,426.0,142.0,0.5351351351351351,0.5405405405405406,-0.005405405405405461,0.5034117647058823,370.0
NVDA,HF_net_4,next_day,logit_level_lag1,583,0.5643224699828473,0.5523156089193825,0.012006861063464824,0.006098435967322735,-398.46279576346444,0.5613978724923252,0.5068493150684932,0.5068493150684932,0.0,0.539039039039039,437.0,146.0,0.548051948051948,0.5532467532467532,-0.0051948051948051965,0.5308439786002839,385.0
NVDA,HF_net_4,next_day,logit_level_plus_trend5,578,0.5536332179930796,0.5501730103806228,0.0034602076124568004,0.00892075076787835,-394.1761344477942,0.5762457668118045,0.503448275862069,0.503448275862069,0.0,0.5401445966514459,433.0,145.0,0.5421052631578948,0.55,-0.007894736842105288,0.5237975321077815,380.0
NVDA,HF_net_4,next_day,logit_level_plus_trend10,573,0.568935427574171,0.5497382198952879,0.01919720767888311,0.008166061492111187,-391.1134094358116,0.5624338624338624,0.4861111111111111,0.5069444444444444,-0.020833333333333315,0.5145668531738375,429.0,144.0,0.5386666666666666,0.544,-0.005333333333333412,0.524911134044261,375.0
NVDA,HF_net_4,next_day,logit_level_plus_trend15,568,0.5492957746478874,0.545774647887324,0.0035211267605633756,0.007756889085936858,-388.2885240008362,0.5603025756439111,0.5,0.5070422535211268,-0.007042253521126751,0.5299603174603175,426.0,142.0,0.5297297297297298,0.5405405405405406,-0.010810810810810811,0.5085000000000001,370.0
NVDA,FB_net,next_day,logit_level_lag1,583,0.5523156089193825,0.5523156089193825,0.0,0.0007705744643352608,-400.59877649510474,0.5304490611836938,0.5068493150684932,0.5068493150684932,0.0,0.5022522522522522,437.0,146.0,0.5532467532467532,0.5532467532467532,0.0,0.485697128507479,385.0
NVDA,FB_net,next_day,logit_level_plus_trend5,578,0.5501730103806228,0.5501730103806228,0.0,0.001148552770587341,-397.26732515238086,0.5338776003870344,0.503448275862069,0.503448275862069,0.0,0.505517503805175,433.0,145.0,0.55,0.55,0.0,0.4918436441982148,380.0
NVDA,FB_net,next_day,logit_level_plus_trend10,573,0.5497382198952879,0.5497382198952879,0.0,0.0013314790638307983,-393.80851466644754,0.5283868586194167,0.5069444444444444,0.5069444444444444,0.0,0.4844684545629944,429.0,144.0,0.544,0.544,0.0,0.48463478958835005,375.0
NVDA,FB_net,next_day,logit_level_plus_trend15,568,0.5440140845070423,0.545774647887324,-0.0017605633802817433,0.0009606736564048424,-390.9480460765236,0.5333333333333333,0.5070422535211268,0.5070422535211268,0.0,0.493452380952381,426.0,142.0,0.5405405405405406,0.5405405405405406,0.0,0.4754999999999999,370.0
NVDA,NRC_net,fwd_5d,logit_level_lag1,583,0.6089193825042881,0.6089193825042881,0.0,0.0006561393900500478,-389.9045113313254,0.5093773165307636,0.5068493150684932,0.5068493150684932,0.0,0.47475600600600604,437.0,146.0,0.5948051948051948,0.5948051948051948,0.0,0.5342066957787482,385.0
NVDA,NRC_net,fwd_5d,logit_level_plus_trend5,578,0.6072664359861591,0.6055363321799307,0.0017301038062284002,0.00572468478665078,-385.4470213600255,0.5434210526315789,0.503448275862069,0.503448275862069,0.0,0.5224505327245053,433.0,145.0,0.5894736842105263,0.5894736842105263,0.0,0.5544013278388278,380.0
NVDA,NRC_net,fwd_5d,logit_level_plus_trend10,573,0.6020942408376964,0.6020942408376964,0.0,0.0012701892834601214,-384.654682769213,0.5214340198321892,0.5,0.5,0.0,0.47164351851851855,429.0,144.0,0.584,0.584,0.0,0.5192014986535535,375.0
NVDA,NRC_net,fwd_5d,logit_level_plus_trend15,568,0.5985915492957746,0.5985915492957746,0.0,0.001728104228739591,-381.93149250657154,0.5281475748194014,0.49295774647887325,0.5070422535211268,-0.014084507042253502,0.4851190476190476,426.0,142.0,0.5783783783783784,0.581081081081081,-0.002702702702702675,0.5249812453113278,370.0
NVDA,HF_net_4,fwd_5d,logit_level_lag1,583,0.6054888507718696,0.6089193825042881,-0.0034305317324184736,0.009952596109058742,-386.27740102724493,0.5584754138868298,0.5068493150684932,0.5068493150684932,0.0,0.5469219219219219,437.0,146.0,0.5948051948051948,0.5948051948051948,0.0,0.5487067517635202,385.0
NVDA,HF_net_4,fwd_5d,logit_level_plus_trend5,578,0.6038062283737025,0.6055363321799307,-0.0017301038062282892,0.009029560081177945,-384.16583262009533,0.5532957393483711,0.503448275862069,0.503448275862069,0.0,0.5334855403348554,433.0,145.0,0.5921052631578947,0.5894736842105263,0.0026315789473684292,0.5283882783882784,380.0
NVDA,HF_net_4,fwd_5d,logit_level_plus_trend10,573,0.5986038394415357,0.6020942408376964,-0.003490401396160636,0.010432762311124999,-381.12577376550803,0.5559369438087973,0.5,0.5,0.0,0.5580632716049383,429.0,144.0,0.5866666666666667,0.584,0.002666666666666706,0.5428813956211216,375.0
