ticker,n,order,aic,bic,exog_cols,tabularis_coef,tabularis_se,tabularis_pvalue,soxx_coef,soxx_se,soxx_pvalue,spy_coef,spy_se,spy_pvalue,vix_coef,vix_se,vix_pvalue,n_posts_coef,n_posts_se,n_posts_pvalue,ar_L1_coef,ar_L1_pvalue
NVDA,580,"(1, 0, 0)",-2786.6043948119186,-2751.7139749913345,"hf_net_4_lag1,soxx_ret_1d,spy_ret_1d,vix_ret_1d,n_posts_lag1",-0.009632580526286844,0.010775235900804848,0.37134574426922484,1.1537974305848955,0.12523122080178858,3.161408121207923e-20,-0.03806833084765319,0.2658382601524307,0.8861313623742478,-0.013342118568532261,0.022358375942755155,0.5506815405077254,5.003327707863497e-06,1.3219074913532412e-05,0.7050643711643465,-0.07335136814033921,0.14782554566160552
AMD,587,"(1, 0, 0)",-2973.9384695120593,-2938.9519111954432,"hf_net_4_lag1,soxx_ret_1d,spy_ret_1d,vix_ret_1d,n_posts_lag1",0.004744699299999233,0.009754046811202812,0.6266595405488097,1.136485278850503,0.07496029442229986,6.392676741296706e-52,0.22733077833363,0.17407288589104417,0.1915689890838409,0.04243153216179548,0.014605939068967021,0.0036715035268706365,2.5754330610310095e-05,2.1335328614901222e-05,0.2273854150727742,-0.0465825102134316,0.35091093449659305
INTC,585,"(1, 0, 0)",-2665.275747708403,-2630.316539845777,"hf_net_4_lag1,soxx_ret_1d,spy_ret_1d,vix_ret_1d,n_posts_lag1",0.023012745148436393,0.015663981898007093,0.14179200219721413,0.6110824263461664,0.10204045871586083,2.1161756381115976e-09,0.34822599194332493,0.2602388005070294,0.18086327343388464,-0.009635580738427865,0.01993773302026391,0.6288943350301901,-8.726634542381136e-06,3.8820402381124884e-05,0.8221387120917146,0.00717486437666385,0.8923268622836105
