ticker,model,sentiment_column,pearson_corr_sent_t_vs_ret_t1,spearman_corr_sent_t_vs_ret_t1,n_pairs
NVDA,NRC,nrc_anger,0.02257673289913023,0.02676686767687988,583
NVDA,NRC,nrc_anticipation,-0.02623359601102783,-0.04658176302802725,583
NVDA,NRC,nrc_disgust,-0.055835968448609,-0.049117793756450596,583
NVDA,NRC,nrc_fear,-0.06552059412428278,-0.09578895249643407,583
NVDA,NRC,nrc_joy,-0.013456273362796438,-0.018091757421177555,583
NVDA,NRC,nrc_sadness,-0.05816879959337476,-0.08321784961323456,583
NVDA,NRC,nrc_surprise,-0.034224943798122805,-0.02830436561930438,583
NVDA,NRC,nrc_trust,-0.03092827196034994,-0.03074736929394823,583
NVDA,NRC,nrc_positive,-0.01831454402736201,-0.052581263603976955,583
NVDA,NRC,nrc_negative,-0.0205397145058156,-0.016681872206024774,583
NVDA,NRC,nrc_net_sentiment,-0.007648536385010971,-0.040900378744816036,583
NVDA,HF,hf_neutral_score,0.09365363348678755,0.04690662301915376,583
NVDA,HF,hf_negative_score,-0.059926924697690016,-0.020943757156529578,583
NVDA,HF,hf_very_negative_score,-0.05964762873519438,-0.05849408538634671,583
NVDA,HF,hf_positive_score,-0.0977525910807582,-0.09644361508571604,583
NVDA,HF,hf_very_positive_score,0.009999673706344801,-0.03212810984484289,583
NVDA,HF,hf_net_4,0.028573169173773883,0.010044636639057532,583
NVDA,FinBERT,fb_negative_score,-0.02174418695222567,-0.051898116937965796,583
NVDA,FinBERT,fb_neutral_score,-0.02436866736106835,0.051534582797489376,583
NVDA,FinBERT,fb_positive_score,0.056285422497373144,-0.020123004498545743,583
NVDA,FinBERT,fb_net_sentiment,0.05029937603720892,0.03493294814742324,583
AMD,NRC,nrc_anger,0.01756167674291875,0.008684182089855828,588
AMD,NRC,nrc_anticipation,0.04255686394695021,0.05820977336077413,588
AMD,NRC,nrc_disgust,0.07164670243719955,0.042780643791840434,588
AMD,NRC,nrc_fear,0.10658011098160602,0.0821565035284096,588
AMD,NRC,nrc_joy,0.0005704760070023648,-0.0228330056544968,588
AMD,NRC,nrc_sadness,0.06306012547885624,0.0682208115051128,588
AMD,NRC,nrc_surprise,0.007273926244669842,0.015573533843446391,588
AMD,NRC,nrc_trust,0.04369358968075249,0.02377617746371223,588
AMD,NRC,nrc_positive,0.02236052069623281,0.002950039980364356,588
AMD,NRC,nrc_negative,0.08090972587924092,0.07374697186203517,588
AMD,NRC,nrc_net_sentiment,-0.03409492114074222,-0.034511930131578494,588
AMD,HF,hf_neutral_score,0.01323079774006958,-0.019555282798460645,588
AMD,HF,hf_negative_score,-0.01873533446793207,-0.006801530811483528,588
AMD,HF,hf_very_negative_score,-0.01400521015539274,-0.02806003781415728,588
AMD,HF,hf_positive_score,0.028559590857221914,0.030021149217729515,588
AMD,HF,hf_very_positive_score,-0.02688425161207086,-0.03650969003075395,588
AMD,HF,hf_net_4,0.021828528732890956,0.03130389347236625,588
AMD,FinBERT,fb_negative_score,-0.00035395653729139686,0.028895268688357303,588
AMD,FinBERT,fb_neutral_score,0.006568961008914443,0.026184306887851755,588
AMD,FinBERT,fb_positive_score,-0.00807393098203623,-0.06388991280195784,588
AMD,FinBERT,fb_net_sentiment,-0.004583568973629683,-0.04817220907330778,588
INTC,NRC,nrc_anger,-0.051583338308456,-0.05369795502792256,589
INTC,NRC,nrc_anticipation,-0.007252673187954564,-0.021320628216429393,589
INTC,NRC,nrc_disgust,-0.1115280786931042,-0.08445118785219655,589
INTC,NRC,nrc_fear,-0.05648487326704963,-0.08322968414198118,589
INTC,NRC,nrc_joy,0.034727848982652534,0.00037544022302939215,589
INTC,NRC,nrc_sadness,-0.10866036191096227,-0.09893671990721523,589
INTC,NRC,nrc_surprise,-0.014356183722057757,-0.01438573075611557,589
INTC,NRC,nrc_trust,-0.011996626570443314,-0.022519117011636603,589
INTC,NRC,nrc_positive,-0.006703394150180377,0.02720413792188057,589
INTC,NRC,nrc_negative,-0.10658944469434545,-0.10145979173446383,589
INTC,NRC,nrc_net_sentiment,0.05595816150250258,0.08191150967003707,589
INTC,HF,hf_neutral_score,0.07948956613303094,0.09323079783525834,589
INTC,HF,hf_negative_score,-0.13933642845587935,-0.10314664873227268,589
INTC,HF,hf_very_negative_score,-0.08009341888441246,-0.09902670529914359,589
INTC,HF,hf_positive_score,0.09314047039092016,-0.012524849896392645,589
INTC,HF,hf_very_positive_score,0.04879139661319689,-0.06138018455469545,589
INTC,HF,hf_net_4,0.1698578056177767,0.09623109340744834,589
INTC,FinBERT,fb_negative_score,-0.04466224640036843,-0.07314895013658035,589
INTC,FinBERT,fb_neutral_score,0.00039803573706153743,0.07777383459667506,589
INTC,FinBERT,fb_positive_score,0.055256901047501916,-0.020030522395973586,589
INTC,FinBERT,fb_net_sentiment,0.06420455270641774,0.031283670667158696,589
