uri,cid,author_handle,author_display_name,text,created_at,like_count,repost_count,reply_count,quote_count,keyword
at://did:plc:qe6ftk2v4ygxuaigd7ct4q3k/app.bsky.feed.post/3k3rujkqcni2h,bafyreidvajenby2xeas7a5mfuizmesjzvjbk4ng2ccggbtwgnloizfjn2m,blindsighted.bsky.social,BlindSighted (twitch.tv/blind_sighted),"One screen reader, NVDA, which is open source, does have a 3rd party plugin that allows for selected text to be sent to google translate via api. This is however a user-made plugin, not a feature of a screen reader.",2023-07-31T01:48:06.173Z,3,1,0,0,NVDA
at://did:plc:qe6ftk2v4ygxuaigd7ct4q3k/app.bsky.feed.post/3k3rtismgbm22,bafyreicen4htfqpqdzkrfa3wtsyfxzglo3minnuv255qdpwlsgemi6kdpy,blindsighted.bsky.social,BlindSighted (twitch.tv/blind_sighted),Yes there are some blind folks here! Personally I have been keeping social media apps off my phone for the last year or more -- so I'm only using blue sky via web browser on my desktop. using NVDA. It's not a smooth experience by a longshot and they've basically not fixed anything since I joined.,2023-07-31T01:29:47.082Z,3,3,0,0,NVDA
at://did:plc:gmuix7cwysy23lfbv6yna7l7/app.bsky.feed.post/3k3qkqyorb22l,bafyreibodxy4v5biafmvf4b7kokjtj66intyregyezkykqi22ezupow5xy,renes.info,Rene Ludwig,Great documentary about the founders of the free open source #screenreader #NVDA. Blind Leading the Blind https://www.abc.net.au/news/2023-06-05/blind-leading-the-blind/102422464. Here is the link with #audiodescription for blind people. ‪youtu.be/3i7gkN-1sAI‬,2023-07-30T13:20:35.525788Z,2,0,0,1,NVDA
at://did:plc:7ni6ktnv7pnp3pk6eosdznrg/app.bsky.feed.post/3k3bho6c5ff2g,bafyreidvm5pazfde74qvld2egj4qxb6zmyxbfu6to7mtxzuucfhwxtfehu,sketchynews.net,Sketchy News,[Seeking Alpha]Nvidia And AMD: AI Updates From Taiwan Semiconductor's Q2 Earnings (NASDAQ:NVDA) - Seeking Alpha Taiwan Semiconductor Manufacturing Company Limited's Q2 earnings affected both Nvidia Corporation and AMD. Read what's next for NVDA and AMD.,2023-07-24T13:15:24.206Z,0,0,0,0,NVDA
at://did:plc:6nfp2mvlpxukv7d4wi5bs4wt/app.bsky.feed.post/3k33juobh6o2l,bafyreiaj6zzdyfqrqiyln6rmkjuicqrpdpkrwto7x3ovozr7fwnuzceske,terapyon.bsky.social,terapyon,"合宿でデモがあった、LangChainでメタデータ入る。
https://huggingface.co/spaces/terapyon/nvdajp-book-qa
 NVDA日本語ガイドブック  Read the Docsで公開されている）ものをURL付きで回答してくれる。
（「NVDAってなんですか？」　とかを入れると教えてれます。）",2023-07-22T04:38:51.119Z,0,0,0,0,NVDA
at://did:plc:dxck7fuz4x36jzgn6xi3c2sv/app.bsky.feed.post/3k2ybvkckwn2z,bafyreig5h67vn5ivitnpii7576bduqilzafzlqtgrji7asftmmzehf6dvq,jadid.bsky.social,Jadid Herrera,"Portfolio Watch: A Market Reality Check Amid Earnings Season | July 20, 2023. #MSFT #GOOGL #AMZN #TSLA #NFLX #AAPL #NVDA #News #MarketUpdate. Full Post at https://post.news/@/Jadid_/2SqzVnTcmCGcubp6BfxrE8ptYYN",2023-07-20T21:38:11.354Z,0,0,0,0,NVDA
at://did:plc:owxlola3h7eyunlk7kum3rp2/app.bsky.feed.post/3k2xdrv5xph2x,bafyreifrxqikk65zyndmjzgq3afuo6gwt4b4oot7tngpq2lxqtlxrha6eu,techguy.bsky.social,Andrew Bekoff,"Spu is off 11 handles in pre-market trading. TSLA -4.4% on earnings, SAP -1.9%, NVDA -.9% some tech profit taking after a huge run. UAL +2.6% earnings and pilot contracts, NVO +1.8% Nat gas +3.8%, crude +.4%, the 10-year is backing up 7bs to yield  3.81%. #spx #stocks #equities",2023-07-20T12:39:16.370Z,0,0,0,0,NVDA
at://did:plc:tyh22mxzjnitsiuojoqg3n53/app.bsky.feed.post/3k2vvnqzu3w26,bafyreifhhpyofgtn3gztccej5lazofqx6pmwmijowpsezsrnvg2f6jgwje,rickaguilar.bsky.social,Options trades,Goodbye TSLA crash and burn on today's earnings release. Now let's hope NVDA crushes it earnings release next month.,2023-07-19T22:53:44.361Z,1,0,1,0,NVDA
at://did:plc:dxck7fuz4x36jzgn6xi3c2sv/app.bsky.feed.post/3k2umcq7qg62z,bafyreifijpqgwkf6fbcubpd77pzg2pnha3pyohofyamik7danzbcptgkyi,jadid.bsky.social,Jadid Herrera,"U.S. Market Outlook & Key Earnings Reports | July 19, 2023. #NVDA #MSFT #MS #BAC #SPY #QQQ #BKR #CVNA #GS #HAL #NDAQ #NTRS #USB #NFLX #TSLA #UAL #AA #DFS #IBM #LVS #STLD #News #MarketWatch. Full Post at https://post.news/@/Jadid_/2SmrkYJfBTHT4yUT8e2RzoaJGyU",2023-07-19T10:33:52.206Z,0,0,0,0,NVDA
at://did:plc:aykreswa7atncp6j6keikkwk/app.bsky.feed.post/3k2prglhasl2q,bafyreibfljpuyuktiltumek2wtel5sckhd74banvbgx3oxfqgihwwlfmoq,nikukyu.com,🐾ᒪᑌᑕᗩ　ルーカ🧸,"Good evening, LuxcessTechを更新しました！↡
「ページの書棚」に「NVDA×VPSで快適なリモート環境に♪～NVDA Remoteのご紹介～」をアップしました。
やや難しめの内容になってしまいましたが、複数台のPCを使い分けている方には凄く便利な機能なので、ぜひお試しください!
https://pages.naokiluca.com/nvda-remote.html",2023-07-17T12:22:11.396Z,0,0,0,0,NVDA
