uri,cid,author_handle,author_display_name,text,created_at,like_count,repost_count,reply_count,quote_count,keyword
at://did:plc:darhtgld4zpct6xi4hupunhs/app.bsky.feed.post/3ktqhbjlnpl2w,bafyreifqsez7vro5uvtu4dgzjjyw2q5bt5buchuyt3oatbiwfqx4m5mvtu,pedrovoge.bsky.social,PedroVoge,"China ignora sanções americanas e patenteia chip de 3nm 

Huawei e Semiconductor Manufacturing International Co. (SMIC) estão expandindo o uso da técnica de litografia de padrão quádruplo autoalinhado (SAQP) para a fabricação de microchips da classe 3nm,… t.co/hyMtRVZaIX?s...",2024-05-30T22:22:54.945Z,5,2,0,0,Huawei chip
at://did:plc:darhtgld4zpct6xi4hupunhs/app.bsky.feed.post/3ktqgxdor4d23,bafyreidvxajcku67w2bp57npwy6umz77xbiic3xp2kgr3dl55a7bmc7znq,pedrovoge.bsky.social,PedroVoge,"China ignora sanções americanas e patenteia chip de 3nm 

Huawei e Semiconductor Manufacturing International Co. (SMIC) estão expandindo o uso da técnica de litografia de padrão quádruplo autoalinhado (SAQP) para a fabricação de microchips da classe 3nm,… t.co/hyMtRVZaIX?s...",2024-05-30T22:17:13.216Z,2,0,0,0,Huawei chip
at://did:plc:hjwfiviislw7rpawoyeoees3/app.bsky.feed.post/3ktmdp3l6tt2v,bafyreihn2qc5n7kupu26b33xmbxk6c6lhjv72kwxntp3yrbocb5fny7yaq,sensehofstede.nl,Sense Hofstede,Chinese employee accused of stealing SK Hynix chip technology for Huawei – The Korea Times,2024-05-29T07:08:15.997Z,0,0,0,0,Huawei chip
at://did:plc:hnhlvnfvvzrdw3h3vkbeqojn/app.bsky.feed.post/3ktkrfpwwun2h,bafyreih7xwef5vwwjkok7wgkvqrcze5jxjq3himri4aavgkkay4zgcaa2e,langley127.bsky.social,Langley,"A #Chinese national who worked for SK hynix is on trial for allegedly stealing key semiconductor technology from the Korean chipmaker for Chinese IT firm #Huawei , the latest in a series of chip technology leaks to Chinese firms, according to the police, Tuesday.
www.koreatimes.co.kr/www/tech/202...",2024-05-28T16:08:14.427Z,0,0,0,0,Huawei chip
at://did:plc:tuatrppk55spilbjssstkzl5/app.bsky.feed.post/3kt7uwp5cqt2h,bafyreicfdnoqimydeitxe6etwsys3veqgebwuqpl6jww74j2l5iggsxkqa,protechbro.bsky.social,Protechbro Media,"According to insiders, Nvidia’s (NVDA.O), the most powerful AI processor for China, has had a rough start due to excess supply, causing it to be priced below a Huawei chip The declining prices highlight the difficulties Nvidia’s China operation encounters due to increased… #Tech #AI #Business",2024-05-24T08:12:08Z,1,0,0,0,Huawei chip
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3kt7gdktajc2b,bafyreigknm3adel5xiv3itcfp66g4ehrylnjyns7uknrpvcm7q3oullnte,news-feed.bsky.social,News Feed,"@Reuters: Exclusive: Nvidia cuts China prices in Huawei chip fight, sources say https://t.co/GVhMcqLcTW https://t.co/pTuIVD4KAq",2024-05-24T03:50:54.081Z,0,0,0,0,Huawei chip
at://did:plc:gzjhg4nxhqef2cvhjecivgr5/app.bsky.feed.post/3kt7ffxlc3t2f,bafyreifabt4pjtdtsa3p4cwld7x247wgowsvzxeswnuc3huhmvxoksk6tm,piqsuite.bsky.social,PiQ,"⚠️  EXCLUSIVE-NVIDIA CUTS CHINA PRICES IN HUAWEI CHIP FIGHT, SOURCES SAY

Full Story → https://PiQSuite.com/reuters/exclusive-nvidia-cuts-china-prices-in-huawei-chip-fight-sources-say",2024-05-24T03:34:20.499Z,0,0,0,0,Huawei chip
at://did:plc:763ol76nichmx2jeatobsflu/app.bsky.feed.post/3kt7ffxgzes2e,bafyreigj6sjahe6wxcrvrxnrbwnofn6lzfipwmgfiaq7whfwsmxgq5mguy,sandconsole.bsky.social,Sand Console,"⚠️  EXCLUSIVE-NVIDIA CUTS CHINA PRICES IN HUAWEI CHIP FIGHT, SOURCES SAY

Full Story → https://PiQSuite.com/reuters/exclusive-nvidia-cuts-china-prices-in-huawei-chip-fight-sources-say",2024-05-24T03:34:20.335Z,0,0,0,0,Huawei chip
at://did:plc:hiciemlnowqqoner3u3ypsfb/app.bsky.feed.post/3ksprnj5ch22q,bafyreigh2b24rjnawonarwxwuo2fn6ltnkctxtlbvs6dtdh7yb6y5elzhy,quensil.bsky.social,Gianni,"Tensor et similia sono chip usati, fra l’altro, nei cellulari. 

Il Kirin, in particolare, è utilizzato da Huawei nei suoi smartphone da oltre un decennio. 

www.hisilicon.com/en/products/...",2024-05-17T22:30:43.111Z,1,0,0,0,Huawei chip
at://did:plc:5zxnzmbwwpvf3ifi5jfpzrq4/app.bsky.feed.post/3ksk2vxhwkk2f,bafyreihkikgsodxi2pvtthc4vxqf5fvalvjoxaiqakmghfddkhvw4suwn4,pisapapeles.bsky.social,Pisapapeles,SMIC logra desarrollar con éxito el nodo de 5nm que usarán los procesadores del Huawei Mate 70 - https://pisapapeles.net/huawei-mate-70-smic-5nm-chip/,2024-05-15T16:00:31.558Z,0,0,0,0,Huawei chip
at://did:plc:qoqicqc54h3b2it2tmfa3mk3/app.bsky.feed.post/3ks4ztednbr2a,bafyreibckbvwe5ptsdd3cvpgoa4ksvzngglr2q2bnj6buvyqplqvavo5aq,riskmap.bsky.social,RiskMap,⚡️ 🇨🇳 China opposes US trade restrictions on 37 Chinese businesses. Chinese military escorts US destroyer through Taiwan Strait. US Commerce Secretary calls Huawei a threat. US revokes export licenses for chip provision to Huawei.,2024-05-10T11:36:34Z,0,0,0,0,Huawei chip
at://did:plc:ck3rde3fni372ifsm7ahnoqf/app.bsky.feed.post/3ks2lsjzwxk2k,bafyreiay4yn64z6klukyj6aubcoygtbdz4uuyquzaf5jcngqynqivz5igm,xataka.bsky.social,Xataka,"EEUU acaba de asestar a Huawei su golpe final: Intel y Qualcomm ya no podrán venderle ninguna clase de chip

https://www.xataka.com/empresas-y-economia/eeuu-acaba-asestar-a-huawei-su-golpe-final-intel-qualcomm-no-podran-venderle-ninguna-clase-chip",2024-05-09T12:20:13+00:00,0,0,1,0,Huawei chip
at://did:plc:gkwhkppknr3avptzhh4d5rec/app.bsky.feed.post/3krzztub7co22,bafyreihdz5qy62qnay66ipvgcfzzpi7aja22vrwuteeyhijwfsbmakxwne,cheinyeanlim.bsky.social,martechnewser,"In-depth teardown of Huawei Pura 70 Pro reveals surprising findings! Despite boasting the 7nm Kirin 9010 chip, it's only marginally superior to Kirin 9000S. Notably, the majority of chips are proudly designed and manufactured in China. #HuaweiPura70Pro #Kirin9010 r/martechnewser",2024-05-09T06:58:51.622Z,0,0,0,0,Huawei chip
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3krzfvgguec2z,bafyreid6wh4skdi4tiwcsw3rye2lbptb65qq22rjwj5ltjmntvj7l54e7e,news-feed.bsky.social,News Feed,@Forbes: U.S. officials have reportedly revoked export licenses that allowed U.S. chip makers Intel and Qualcomm to supply semiconductors to Huawei. https://t.co/DcPndr17M4,2024-05-09T01:01:49.412Z,0,0,0,0,Huawei chip
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3kryryri67s2h,bafyreidw5hqongd5k7mq4hmjxt3767no52le2jmw2kisc4avlqb42euh7a,news-feed.bsky.social,News Feed,"@globaltimesnews: #US revokes some chip export licenses to #Huawei, but experts warn it will only backfire on #US companies and fuel Chinese companies’ breakthroughs. https://t.co/1A0gBMk5uH https://t.co/VfzvyxZawv",2024-05-08T19:05:47.061Z,0,0,0,0,Huawei chip
at://did:plc:hiyeapxrlseaixi3oxpn24hs/app.bsky.feed.post/3kryl7s7vrl2w,bafyreieuzcjq3qejaruqsjxaw44lth6mctfxuy5ty2sjszcoeozup7etrq,dmgreene.bsky.social,Dan Greene ,Huawei surviving better than anticipated--with surprising success on the chip front--so Biden admin upped the pressure and revoked export licenses for Intel and Qualcomm to supply them with semiconductors,2024-05-08T17:04:26.579Z,3,0,1,0,Huawei chip
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3kry5okehv32b,bafyreia5lngnevmafmsntyaxpywdi5o4uc76swkgtq2froegcjkugc4axi,news-feed.bsky.social,News Feed,@Forbes: U.S. officials have reportedly revoked export licenses that allowed U.S. chip makers Intel and Qualcomm to supply semiconductors to Huawei. https://t.co/NwliMWGQA2,2024-05-08T13:02:09.221Z,0,0,0,0,Huawei chip
at://did:plc:2wo42hwatonhh7nlnl6bs2p5/app.bsky.feed.post/3kry5kuewjd27,bafyreigijeil5h74ke3asylyuxy36xllrpsxvhsdkztxtxvukl7bmvf2ei,techit.bsky.social,TechIT,"US revokes Intel and Qualcomm's licenses for chip sales to Huawei

#engadget ",2024-05-08T13:00:04.286946Z,0,0,0,0,Huawei chip
at://did:plc:hpnjvcdy2eb4f7wmrdfuka3h/app.bsky.feed.post/3kry5emyokc2b,bafyreidpzd6pwry75vrnbw7bu6ra7u7uglln3kdl6sz3o66enxbmjszhwq,engadget.com,Engadget,US revokes Intel and Qualcomm's licenses for chip sales to Huawei,2024-05-08T12:56:36Z,2,0,0,0,Huawei chip
at://did:plc:pv7fudnt4dspurzdnyq73pfe/app.bsky.feed.post/3kry3nhgoy22x,bafyreihzarsapfnyubeihlv43smapebofg7nlv32klzbylyxjlu24yevsu,techmeme.com,Techmeme,"Intel expects Q2 revenue to be ""below the midpoint"" of the previously guided $12.5B to $13.5B range after a new US ban on Huawei chip exports (Lynn Doan/Bloomberg)

Main Link | Techmeme Permalink",2024-05-08T12:25:44Z,0,0,0,0,Huawei chip
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3kry2r5tous2e,bafyreicmtbj3aqe3toe4tauieexegqv5oacigyknfh2fxltkqwzxck5vty,news-feed.bsky.social,News Feed,@business: Intel now expects second-quarter revenue to fall below the midpoint of previously issued projections because of a new US ban on chip exports to Huawei https://t.co/AGS0vhzFvv,2024-05-08T12:09:55.526Z,0,0,0,0,Huawei chip
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3kry2mnasdb23,bafyreib4topqmxiuu4njf3d5hfhzbij3usfmzmtkqvzyh7t3mft6ieonxm,news-feed.bsky.social,News Feed,@markets: Intel now expects second-quarter revenue to fall below the midpoint of previously issued projections because of a new US ban on chip exports to Huawei https://t.co/iolWJxKQFN,2024-05-08T12:07:23.635Z,0,0,0,0,Huawei chip
at://did:plc:4hm6gb7dzobynqrpypif3dck/app.bsky.feed.post/3krx2jchaek2h,bafyreigopqm7kl6jmrm2b5yu2inj7gdtpqo2xuhjjf27swvjjzyggbkigq,news-feed.bsky.social,News Feed,"@washingtonpost: The Commerce Department has further restricted the sale of U.S. technology to China’s leading high-tech firm, Huawei Technologies, revoking certain allowances of U.S. chip sales amid renewed scrutiny of the company in Washington. https://t.co/JYElWP4Fgw",2024-05-08T02:32:52.191Z,0,0,0,0,Huawei chip
