uri,cid,author_handle,author_display_name,text,created_at,like_count,repost_count,reply_count,quote_count,keyword
at://did:plc:mv3tgtdh3fjhwlfxga6ryiyz/app.bsky.feed.post/3la26e2vrk72u,bafyreicxteprdcflpjc5ql4mw22feib3eqt455wcasegm3xlryrp2f5vym,sokky.bsky.social,sokky,"at my grandmother's (dadside) house for probate I found a picture of me when I was 10 or 9 and completely didn't notice the AMD shirt I was wearing
I was so goated for that tbh",2023-02-28T04:05:09Z,0,0,0,0,AMD
at://did:plc:qfv4mj5cgbnurilwhcl5emrm/app.bsky.feed.post/3lbkexk6wkn2u,bafyreigxggmrgnryr352yk3a6sbksdqn77ft6hbmu6ujfbtc3u5sxn6hw4,raeaaah.bsky.social,it's rae,"*SNAPS AWAKE FRIM REM SLEEP*

LANCE PULLING ON KEITH'S TAIL AT THE BASE TO RAISE HIS ASS UP CASUE THE STRENTGH IN KEITHS THIGHS AMD HIPS ARE GIVING OUT FROM THE HARD SEEING TO OF BEING POUDNED INTO THE MATTRESS

*return s to repose*",2023-02-22T08:54:31Z,0,0,0,0,AMD
at://did:plc:fjsmdevv3mmzc3dpd36u5yxc/app.bsky.feed.post/3jpcfz3zx5s2j,bafyreic2xw5tamnr5c3u43t4qvrhlor6fuuf7tcpon5bwhlcq7rmyvwb3u,hnbot.bsky.social,,AMD CEO: The Next Challenge Is Energy Efficiency,2023-02-21T21:16:03.657Z,0,0,0,0,AMD
at://did:plc:fjsmdevv3mmzc3dpd36u5yxc/app.bsky.feed.post/3jpafujmffk2j,bafyreiesgphpi3hnat2qbrntqfagnpz36ap3gjztpynn4dnpn2dyzr56am,hnbot.bsky.social,,AMD EPYC 9004 Genoa Under-the-Lid – ServeTheHome,2023-02-21T02:08:10.644Z,0,0,0,0,AMD
at://did:plc:fmocyd4lbymlsx6o6umgaxuy/app.bsky.feed.post/3lbbguwvhkc27,bafyreiegr4pcrqwvn4ip3fzm6wtfxysz75urr5db4fjeicbqz2ndv7s33m,yunod.sustainabletranslator.scot,優noD🏴󠁧󠁢󠁳󠁣󠁴󠁿,"Grey amd windless but very mild.
#イマソラ #TayBridge #Dundee #sky",2023-02-20T11:19:10Z,0,0,0,0,AMD
at://did:plc:fjsmdevv3mmzc3dpd36u5yxc/app.bsky.feed.post/3joy42opolk2h,bafyreidbqj4zm6ot57lwnyaetqeotk2tbeykve7a4fw4iqzmnrji7zpxxu,hnbot.bsky.social,,AMD ROCm: A Wasted Opportunity,2023-02-17T18:51:21.997Z,0,0,0,0,AMD
at://did:plc:fjsmdevv3mmzc3dpd36u5yxc/app.bsky.feed.post/3joskb4c5yc2c,bafyreibdmsujidz2qjb7t7ffrary343rj4ijwtz4nfirqsdisgr6tvm6ta,hnbot.bsky.social,,AMD Grabs over 30% CPU Market Share as Intel Continues to Decline,2023-02-15T13:49:31.519Z,0,0,0,0,AMD
at://did:plc:rczgqr2dwzgholzxqgzmb2ot/app.bsky.feed.post/3lai3kvkoou27,bafyreihdhjfcqftj6aup4nosho3dyoakwylz6527g4lfb4ktjnd42rjoni,seanrr.bsky.social,Sean Ryan,"'Coming soon', amd now for $11!",2023-02-14T02:54:08Z,0,0,0,0,AMD
at://did:plc:s2df6atbgb5i6g7v544mjjwe/app.bsky.feed.post/3m2zrskm42g27,bafyreihgan5ohyftj6eyr3ydkwhtrpwrrugnxm7b4uekjehkvl6rqjjp24,scottybluesky.bsky.social,Scotty,"I have watched Day of the Daleks once when it was repeated on UKGOLD many moons ago. Last night I watched episode 1 on itvX amd honestly, it felt like a missing episode had been returned. Such an oddly paced setup. That huge futuristic set is impressive",2023-02-10T07:36:22.000Z,0,0,0,0,AMD
at://did:plc:ejozl3npbnzydqh2ofjzw4u6/app.bsky.feed.post/3lbl3eavsjn2i,bafyreifc5vzdz5ucwegr6eg4hgsmmgwriiakvbrxnnpfdvpmocw734w4ua,zakrnjac.bsky.social,,"Pokrećem akciju - branitelj silovatelja.

Kada naiđete na takav oblik života, ostavite mu tag
#braniteljsilovatelja u komentaru, i žigošite tu stoku, jer stoka mora biti žigosana.",2023-02-26T19:06:46.000Z,0,0,0,0,MU
