company_main,posts,hf_net_4_mean,hf_positive_share,hf_negative_share,hf_neutral_share
QCOM,1200,-0.022237916666666666,0.043333333333333335,0.08666666666666667,0.87
AMD,1164,-0.03943298969072165,0.07989690721649484,0.13831615120274915,0.781786941580756
AVGO,1097,-0.049997356426618046,0.037374658158614404,0.10027347310847767,0.8623518687329079
ASML,1200,-0.054732833333333335,0.0525,0.12416666666666666,0.8233333333333334
TSMC,1200,-0.06297866666666667,0.08166666666666667,0.16666666666666666,0.7516666666666667
NVDA,1200,-0.07142408333333333,0.08083333333333333,0.175,0.7441666666666666
INTC,1153,-0.07593998265394623,0.06504770164787511,0.1595836947094536,0.7753686036426712
Micron,984,-0.09403282520325204,0.09857723577235772,0.21544715447154472,0.6859756097560976
