company_main,de,en,es,fr,ja,nl,pt,sv
AMD,-0.004478999999999997,-0.07052900000000001,-0.028805500000000005,-0.03381585365853659,-0.0802205,,-0.017737,
ASML,-0.0016394999999999988,-0.040617,-0.047722499999999994,-0.072508,-0.073481,-0.09242900000000001,,
AVGO,-0.0500995,-0.053037,-0.06254531249999999,-0.054910499999999994,-0.026251000000000003,,-0.05694095238095238,
INTC,-0.1194755,-0.0757575,-0.0342321608040201,-0.1268077922077922,-0.0880485,,-0.022809500000000003,
Micron,0.020167914438502674,0.0180165,-0.0012689655172413768,-0.271112,,,-0.1778945652173913,-0.182064375
NVDA,-0.07507,-0.0573735,-0.0722555,-0.06218649999999999,-0.062679,,-0.09898,
QCOM,-0.0159515,-0.019018500000000004,0.012733000000000003,-0.019479,-0.047208499999999994,,-0.044502999999999994,
TSMC,-0.030825500000000002,-0.011120000000000003,-0.0757195,-0.07138749999999999,-0.111584,,-0.0772355,
