date,ew_ret_mean,ew_ret_median,ret_xs_std,n_with_ret,total_volume,ew_cum_index,ew_ret_mean_lag1,nrc_anger_mean,nrc_anticipation_mean,nrc_disgust_mean,nrc_fear_mean,nrc_joy_mean,nrc_sadness_mean,nrc_surprise_mean,nrc_trust_mean,nrc_positive_mean,nrc_negative_mean,nrc_net_sentiment_mean,hf_neutral_score_mean,hf_negative_score_mean,hf_very_negative_score_mean,hf_very_positive_score_mean,hf_positive_score_mean,fb_negative_score_mean,fb_neutral_score_mean,fb_positive_score_mean,fb_net_sentiment_mean,n_calendar_source_days,nrc_anger_mean_lag1,nrc_anticipation_mean_lag1,nrc_disgust_mean_lag1,nrc_fear_mean_lag1,nrc_joy_mean_lag1,nrc_sadness_mean_lag1,nrc_surprise_mean_lag1,nrc_trust_mean_lag1,nrc_positive_mean_lag1,nrc_negative_mean_lag1,nrc_net_sentiment_mean_lag1,hf_neutral_score_mean_lag1,hf_negative_score_mean_lag1,hf_very_negative_score_mean_lag1,hf_very_positive_score_mean_lag1,hf_positive_score_mean_lag1,fb_negative_score_mean_lag1,fb_neutral_score_mean_lag1,fb_positive_score_mean_lag1,fb_net_sentiment_mean_lag1,n_calendar_source_days_lag1,hf_net_4_mean_lag1,soxx_ret_1d,spy_ret_1d,vix_ret_1d
2023-01-04,0.0289570003023559,0.0284951069984062,0.0184082366568802,12,607863900.0,1.028957000302356,,0.1258741258741259,0.3146853146853147,0.0909090909090909,0.1748251748251748,0.1118881118881118,0.1538461538461538,0.1118881118881118,0.4405594405594406,0.6433566433566433,0.3986013986013986,0.2447552447552447,0.689472027972028,0.1442174825174825,0.0390041958041958,0.0423552447552447,0.0849517482517482,0.1250048951048951,0.7568713286713287,0.1181300699300699,-0.0068748251748251,1,0.1691492858608101,0.318826879017728,0.1273154841787089,0.293183857167219,0.1791526718123243,0.2048191728886614,0.1222612718820205,0.4750873056476188,0.8041585416187814,0.448780686730283,0.3553778548884984,0.6640754596367393,0.1869616338328229,0.0350924641571081,0.0374987154391974,0.0763733659076697,0.1428672524115636,0.7146576496553497,0.1424748322471102,-0.0003924201644534,3.0,-0.1081820166430639,0.0257407810689445,0.0077200921766618,-0.0388646028154632
2023-01-05,-0.0171078967897428,-0.0133892928888561,0.0161470468800851,12,549807400.0,1.0113537101400998,0.0289570003023559,0.125,0.3369565217391304,0.0543478260869565,0.1902173913043478,0.1304347826086956,0.1793478260869565,0.0706521739130434,0.3206521739130434,0.6847826086956522,0.3369565217391304,0.3478260869565217,0.6819027173913044,0.1791668478260869,0.0371304347826087,0.0325826086956521,0.0692255434782608,0.1280048913043478,0.7418809782608696,0.1301168478260869,0.0021119565217391,1,0.1258741258741259,0.3146853146853147,0.0909090909090909,0.1748251748251748,0.1118881118881118,0.1538461538461538,0.1118881118881118,0.4405594405594406,0.6433566433566433,0.3986013986013986,0.2447552447552447,0.689472027972028,0.1442174825174825,0.0390041958041958,0.0423552447552447,0.0849517482517482,0.1250048951048951,0.7568713286713287,0.1181300699300699,-0.0068748251748251,1.0,-0.05591468531468542,-0.0168617633944357,-0.01141324031106,0.0204451999505355
2023-01-06,0.0487759334454303,0.0482287595893575,0.0140119690558019,12,633053900.0,1.0606834313956823,-0.0171078967897428,0.1607142857142857,0.2946428571428571,0.0714285714285714,0.1875,0.0446428571428571,0.1428571428571428,0.0714285714285714,0.3392857142857143,0.5714285714285714,0.3571428571428571,0.2142857142857142,0.6782660714285714,0.1759071428571428,0.0321723214285714,0.0332848214285714,0.0803678571428571,0.1513258928571428,0.7241580357142857,0.1245205357142857,-0.0268053571428571,1,0.125,0.3369565217391304,0.0543478260869565,0.1902173913043478,0.1304347826086956,0.1793478260869565,0.0706521739130434,0.3206521739130434,0.6847826086956522,0.3369565217391304,0.3478260869565217,0.6819027173913044,0.1791668478260869,0.0371304347826087,0.0325826086956521,0.0692255434782608,0.1280048913043478,0.7418809782608696,0.1301168478260869,0.0021119565217391,1.0,-0.1144891304347827,0.0465323088258058,0.0229320088438405,-0.0592163837008136
2023-01-09,0.0207178208501971,0.0220026806289872,0.0226661104521107,12,731585100.0,1.0826584807061104,0.0487759334454303,0.1068376068376067,0.3121212121212121,0.0704517704517704,0.1213490213490213,0.1278425278425277,0.1252784252784252,0.113094313094313,0.3684611684611685,0.69003959003959,0.3063492063492063,0.3836903836903837,0.6268585551485552,0.1947718396418395,0.0432004895104894,0.0406355592555592,0.0945360169460169,0.13359478003478,0.7441499814999816,0.1222548055648055,-0.0113399744699744,3,0.1607142857142857,0.2946428571428571,0.0714285714285714,0.1875,0.0446428571428571,0.1428571428571428,0.0714285714285714,0.3392857142857143,0.5714285714285714,0.3571428571428571,0.2142857142857142,0.6782660714285714,0.1759071428571428,0.0321723214285714,0.0332848214285714,0.0803678571428571,0.1513258928571428,0.7241580357142857,0.1245205357142857,-0.0268053571428571,1.0,-0.0944267857142857,0.0184230412674319,-0.0005670698525388,0.0397539132016422
2023-01-10,0.0123062987165639,0.0141073103793387,0.0074748185971892,12,546986100.0,1.0959819993777011,0.0207178208501971,0.1897810218978102,0.2481751824817518,0.0583941605839416,0.1970802919708029,0.0802919708029197,0.1532846715328467,0.0656934306569343,0.1751824817518248,0.4744525547445255,0.3576642335766423,0.1167883211678832,0.6523481751824818,0.1690678832116788,0.0347649635036496,0.0501532846715328,0.0936627737226277,0.1396664233576642,0.7436635036496351,0.1166693430656934,-0.0229970802919708,1,0.1068376068376067,0.3121212121212121,0.0704517704517704,0.1213490213490213,0.1278425278425277,0.1252784252784252,0.113094313094313,0.3684611684611685,0.69003959003959,0.3063492063492063,0.3836903836903837,0.6268585551485552,0.1947718396418395,0.0432004895104894,0.0406355592555592,0.0945360169460169,0.13359478003478,0.7441499814999816,0.1222548055648055,-0.0113399744699744,3.0,-0.1028007529507528,0.0129330772666143,0.007013150632088,-0.0632680670501215
2023-01-11,0.0139893478042869,0.0132928964426154,0.008900204637743,12,515239400.0,1.1113140727542337,0.0123062987165639,0.1610738255033557,0.3355704697986577,0.087248322147651,0.1610738255033557,0.1006711409395973,0.1812080536912751,0.1006711409395973,0.3624161073825503,0.5302013422818792,0.3758389261744966,0.1543624161073825,0.653926845637584,0.1846073825503355,0.0453751677852349,0.0314906040268456,0.0845973154362416,0.1572080536912751,0.7384040268456376,0.104389932885906,-0.0528181208053691,1,0.1897810218978102,0.2481751824817518,0.0583941605839416,0.1970802919708029,0.0802919708029197,0.1532846715328467,0.0656934306569343,0.1751824817518248,0.4744525547445255,0.3576642335766423,0.1167883211678832,0.6523481751824818,0.1690678832116788,0.0347649635036496,0.0501532846715328,0.0936627737226277,0.1396664233576642,0.7436635036496351,0.1166693430656934,-0.0229970802919708,1.0,-0.060016788321167885,0.0129012789805875,0.0126476941745199,0.0247813523213071
2023-01-12,0.0170387888549668,0.0135514982326422,0.0196741754475553,12,767626100.0,1.1302495185914463,0.0139893478042869,0.1007194244604316,0.2517985611510791,0.0935251798561151,0.1438848920863309,0.1007194244604316,0.1510791366906475,0.0935251798561151,0.2949640287769784,0.6115107913669064,0.2733812949640288,0.3381294964028777,0.6443071942446044,0.195046762589928,0.0416158273381295,0.0369230215827338,0.0821165467625899,0.1484374100719424,0.7245057553956834,0.1270582733812949,-0.0213791366906474,1,0.1610738255033557,0.3355704697986577,0.087248322147651,0.1610738255033557,0.1006711409395973,0.1812080536912751,0.1006711409395973,0.3624161073825503,0.5302013422818792,0.3758389261744966,0.1543624161073825,0.653926845637584,0.1846073825503355,0.0453751677852349,0.0314906040268456,0.0845973154362416,0.1572080536912751,0.7384040268456376,0.104389932885906,-0.0528181208053691,1.0,-0.11389463087248321,0.0121578352662121,0.0036409659984948,-0.1071598014476314
2023-01-13,0.0041220769770664,0.0001139002634189,0.0133709729815669,12,615137400.0,1.1349084941103726,0.0170387888549668,0.1081081081081081,0.3851351351351351,0.0743243243243243,0.2229729729729729,0.1148648648648648,0.2229729729729729,0.0945945945945946,0.3986486486486486,0.6013513513513513,0.4459459459459459,0.1554054054054054,0.6472554054054054,0.2027756756756756,0.035827027027027,0.0339425675675675,0.0802094594594594,0.1537824324324324,0.7399331081081081,0.1062858108108108,-0.0474966216216216,1,0.1007194244604316,0.2517985611510791,0.0935251798561151,0.1438848920863309,0.1007194244604316,0.1510791366906475,0.0935251798561151,0.2949640287769784,0.6115107913669064,0.2733812949640288,0.3381294964028777,0.6443071942446044,0.195046762589928,0.0416158273381295,0.0369230215827338,0.0821165467625899,0.1484374100719424,0.7245057553956834,0.1270582733812949,-0.0213791366906474,1.0,-0.1176230215827338,0.0041339228988201,0.0038794879133694,-0.025491213180093
2023-01-17,0.0041294004612632,-0.000536126380262,0.017279479290824,12,672610800.0,1.1395949857694436,0.0041220769770664,0.1448040819962324,0.3499174796821942,0.0742031552998303,0.1831843852438413,0.1393162132644531,0.1948036804359144,0.1061309967317968,0.3558147565176023,0.5878701821130413,0.3438468571839134,0.2440233249291278,0.6527245700291258,0.1892487269732179,0.0428414807609438,0.0410498461136356,0.0741304108618436,0.1701865493097138,0.7004078259458223,0.1294058873446044,-0.0407806619651093,4,0.1081081081081081,0.3851351351351351,0.0743243243243243,0.2229729729729729,0.1148648648648648,0.2229729729729729,0.0945945945945946,0.3986486486486486,0.6013513513513513,0.4459459459459459,0.1554054054054054,0.6472554054054054,0.2027756756756756,0.035827027027027,0.0339425675675675,0.0802094594594594,0.1537824324324324,0.7399331081081081,0.1062858108108108,-0.0474966216216216,1.0,-0.12445067567567569,0.0011393144155333,-0.0018319128127091,0.0550408832635098
2023-01-18,-0.0070561625210076,-0.0086252905819066,0.0111358579649142,12,606365600.0,1.1315538183417289,0.0041294004612632,0.2258064516129032,0.2741935483870967,0.0967741935483871,0.1532258064516129,0.1774193548387097,0.1290322580645161,0.0967741935483871,0.5564516129032258,0.8951612903225806,0.4516129032258064,0.4435483870967742,0.6414637096774194,0.1787427419354838,0.0453693548387096,0.0460572580645161,0.0883693548387096,0.1154459677419354,0.7424532258064516,0.1421064516129032,0.0266604838709677,1,0.1448040819962324,0.3499174796821942,0.0742031552998303,0.1831843852438413,0.1393162132644531,0.1948036804359144,0.1061309967317968,0.3558147565176023,0.5878701821130413,0.3438468571839134,0.2440233249291278,0.6527245700291258,0.1892487269732179,0.0428414807609438,0.0410498461136356,0.0741304108618436,0.1701865493097138,0.7004078259458223,0.1294058873446044,-0.0407806619651093,4.0,-0.11690995075868249,-0.0052502366805677,-0.0157880697689364,0.0506198094700645
