Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1995-3-15,2.4350650310516357,2.7851059436798096,2.37418794631958,2.739448070526123,1.765882134437561,71337728,,
1995-3-16,3.013392925262451,3.104707956314087,2.8916399478912354,3.013392925262451,1.9424703121185303,17607744,,
1995-3-17,3.028611898422241,3.028611898422241,2.8916399478912354,2.9068589210510254,1.8737974166870117,13216075,,
1995-3-20,2.8916399478912354,2.9068589210510254,2.830763101577759,2.8916399478912354,1.8639870882034302,5498827,,
1995-3-21,2.8916399478912354,3.0590500831604004,2.861201047897339,3.028611898422241,1.9522807598114014,6312768,,
1995-3-22,3.0438311100006104,3.622159004211426,3.0438311100006104,3.393872022628784,2.187732219696045,14026731,,
1995-3-23,3.3634328842163086,3.4547479152679443,3.3025569915771484,3.3177759647369385,2.1386799812316895,6550955,,
1995-3-24,3.3482139110565186,3.3634328842163086,3.2721190452575684,3.3329949378967285,2.1484901905059814,1577781,,
1995-3-27,3.3177759647369385,3.378653049468994,3.2721190452575684,3.378653049468994,2.1779215335845947,1945739,,
1995-3-28,3.393872022628784,3.622159004211426,3.378653049468994,3.48518705368042,2.2465949058532715,10769323,,
1995-3-29,3.53084397315979,3.6069400310516357,3.4395289421081543,3.50040602684021,2.2564053535461426,3939936,,
1995-3-30,3.46996808052063,3.46996808052063,3.2112419605255127,3.3025569915771484,2.1288697719573975,2329301,,
1995-3-31,3.256899118423462,3.4243099689483643,3.2112419605255127,3.4243099689483643,2.207352876663208,3544875,,
1995-4-3,3.409090995788574,3.409090995788574,3.3025569915771484,3.3482139110565186,2.1583001613616943,2472213,,
1995-4-4,3.3329949378967285,3.3482139110565186,3.119926929473877,3.150365114212036,2.03076434135437,2035264,,
1995-4-5,3.150365114212036,3.150365114212036,3.0438311100006104,3.0742690563201904,1.9817125797271729,3745280,,
1995-4-6,3.104707956314087,3.150365114212036,3.0742690563201904,3.0742690563201904,1.9817125797271729,2031979,,
1995-4-7,3.0742690563201904,3.119926929473877,3.028611898422241,3.0742690563201904,1.9817125797271729,1200789,,
1995-4-10,3.0742690563201904,3.2873380184173584,3.028611898422241,3.2264609336853027,2.0798168182373047,2306304,,
1995-4-11,3.2264609336853027,3.2721190452575684,3.1960229873657227,3.2264609336853027,2.0798168182373047,1878389,,
1995-4-12,3.2416799068450928,3.3101658821105957,3.2416799068450928,3.2873380184173584,2.1190590858459473,3177739,,
1995-4-13,3.3177759647369385,3.3177759647369385,3.1960229873657227,3.2264609336853027,2.0798168182373047,602037,,
1995-4-17,3.1960229873657227,3.256899118423462,3.119926929473877,3.119926929473877,2.011143207550049,770411,,
1995-4-18,3.119926929473877,3.165584087371826,3.028611898422241,3.0590500831604004,1.9719014167785645,1040629,,
1995-4-19,3.0590500831604004,3.089488983154297,3.028611898422241,3.028611898422241,1.9522807598114014,1360128,,
