date,ew_ret_mean,ew_ret_median,ret_xs_std,n_with_ret,total_volume,ew_cum_index,ew_ret_mean_lag1
2023-01-03,,,,0,560365600.0,1.0,
2023-01-04,0.028957000302355942,0.02849510699840625,0.018408236656880274,12,607863900.0,1.028957000302356,
2023-01-05,-0.017107896789742855,-0.013389292888856149,0.016147046880085125,12,549807400.0,1.0113537101400998,0.028957000302355942
2023-01-06,0.04877593344543038,0.04822875958935755,0.014011969055801966,12,633053900.0,1.0606834313956823,-0.017107896789742855
2023-01-09,0.020717820850197115,0.0220026806289872,0.022666110452110765,12,731585100.0,1.0826584807061104,0.04877593344543038
2023-01-10,0.012306298716563975,0.0141073103793387,0.007474818597189249,12,546986100.0,1.0959819993777011,0.020717820850197115
2023-01-11,0.013989347804286968,0.013292896442615401,0.008900204637743032,12,515239400.0,1.1113140727542337,0.012306298716563975
2023-01-12,0.017038788854966885,0.0135514982326422,0.019674175447555325,12,767626100.0,1.1302495185914463,0.013989347804286968
2023-01-13,0.0041220769770664665,0.00011390026341894996,0.013370972981566934,12,615137400.0,1.1349084941103726,0.017038788854966885
2023-01-17,0.004129400461263233,-0.000536126380262,0.017279479290824094,12,672610800.0,1.1395949857694436,0.0041220769770664665
2023-01-18,-0.007056162521007692,-0.00862529058190665,0.01113585796491423,12,606365600.0,1.1315538183417289,0.004129400461263233
2023-01-19,-0.027643371487464135,-0.0317471469794534,0.01311304506039789,12,623786300.0,1.1002738557832499,-0.007056162521007692
2023-01-20,0.03407915544770788,0.03131302756182355,0.01249997347583754,12,743336500.0,1.137770259549536,-0.027643371487464135
2023-01-23,0.052533754358061624,0.0463757886632434,0.02270145587575501,12,899225100.0,1.1975416028806194,0.03407915544770788
2023-01-24,-0.00717824059756855,-0.00779405752465105,0.007683695357997738,12,649320400.0,1.1889453611295444,0.052533754358061624
2023-01-25,0.0013940516884262582,0.00291105512679485,0.009542915456500545,12,609418500.0,1.1906028124176737,-0.00717824059756855
2023-01-26,0.01719515032653749,0.01683619011960585,0.009620271524551948,12,699339000.0,1.211075406756394,0.0013940516884262582
2023-01-27,-0.015525659320871783,-0.00843016148013905,0.029240675929320004,12,841687000.0,1.192272662579208,0.01719515032653749
2023-01-30,-0.026972115230872683,-0.027431505310231252,0.018060936711019944,12,684636100.0,1.160114546937502,-0.015525659320871783
2023-01-31,0.015864475220307952,0.0142867884837167,0.018370253137132326,12,726412800.0,1.1785191554201107,-0.026972115230872683
2023-02-01,0.05198940122000961,0.0417323483295306,0.029374606816269827,12,1003837700.0,1.2397896606367136,0.015864475220307952
2023-02-02,0.024424160246380167,0.0234436170043992,0.021051633879048116,12,848095500.0,1.27007048197991,0.05198940122000961
2023-02-03,-0.020064956586066423,-0.02119058628579165,0.012979779290313593,12,643135800.0,1.2445865728977386,0.024424160246380167
2023-02-06,-0.020613724757576248,-0.021471511932187097,0.015031120256880163,12,628210200.0,1.2189310078470494,-0.020064956586066423
2023-02-07,0.028773611331014876,0.0271809340573281,0.009738502059657041,12,870569200.0,1.2540040549061626,-0.020613724757576248
2023-02-08,-0.023555661162327976,-0.028315874056885203,0.012491005901123396,12,723788800.0,1.2244651602926078,0.028773611331014876
2023-02-09,-0.0020540284856979166,-0.00156984515532195,0.011560919626926066,12,691887200.0,1.221950073973622,-0.023555661162327976
2023-02-10,-0.015048767121751759,-0.012106095089618251,0.01209250861141487,12,704628300.0,1.2035612318759856,-0.0020540284856979166
2023-02-13,0.01651691040704279,0.01653830091484305,0.006793150312640035,12,619316100.0,1.2234403449122715,-0.015048767121751759
2023-02-14,0.01932908472100479,0.0147299995976044,0.016527653977390176,12,836363400.0,1.2470883269901762,0.01651691040704279
2023-02-15,-0.003509307294122592,0.00215268627148625,0.017251969855179395,12,570944300.0,1.2427119108278546,0.01932908472100479
2023-02-16,-0.029286272468029426,-0.0288500897503602,0.011881688577157684,12,583550100.0,1.2063175112080846,-0.003509307294122592
2023-02-17,-0.015393560545080709,-0.014908999549144101,0.009646120128656257,12,622069300.0,1.1877479895627119,-0.029286272468029426
2023-02-21,-0.03194601731443805,-0.032725512143941704,0.009229361427834731,12,607138400.0,1.1498041717229526,-0.015393560545080709
2023-02-22,-0.004713245223465642,-0.00384482924446185,0.008285039953411504,12,729077800.0,1.1443848627026585,-0.03194601731443805
2023-02-23,0.03580791933200906,0.02537828366099945,0.035365942925106295,12,1341973500.0,1.1853629035510875,-0.004713245223465642
2023-02-24,-0.018641536352863277,-0.01716283486886885,0.007007470839587566,12,748926700.0,1.1632659178932043,0.03580791933200906
2023-02-27,0.003862955098926642,0.0076971562884360495,0.010171562532860558,12,603354800.0,1.1677595619021375,-0.018641536352863277
2023-02-28,0.003241844573720334,0.00082816296666195,0.015115828455641276,12,638834400.0,1.1715452569013,0.003862955098926642
2023-03-01,0.0017027281778759413,0.0017197011003896997,0.011042919804061612,12,615058200.0,1.1735400800218827,0.003241844573720334
2023-03-02,0.010972497040028234,0.00935344682901755,0.014454626454963728,12,587514600.0,1.1864167450762773,0.0017027281778759413
2023-03-03,0.008837218661827734,0.00807263869926175,0.02348376279647344,12,645603900.0,1.1969013692765702,0.010972497040028234
2023-03-06,-0.011022071555538358,-0.0072514923367584996,0.012004168824175139,12,623036000.0,1.183709036739482,0.008837218661827734
2023-03-07,-0.014479177891006216,-0.01498773875549135,0.010346461600391346,12,709782100.0,1.1665699030253396,-0.011022071555538358
2023-03-08,0.026406857270714134,0.02311153139784345,0.011476107042408888,12,699874700.0,1.1973753479508404,-0.014479177891006216
2023-03-09,-0.01997805061111248,-0.022072121619978298,0.016574943531147402,12,718987400.0,1.17345412264898,0.026406857270714134
2023-03-10,-0.016846978090964877,-0.01782864386955795,0.018991264928647413,12,711971000.0,1.1536849667539602,-0.01997805061111248
2023-03-13,-0.003772495301751319,-0.00519945288679615,0.009569416162261566,12,643407700.0,1.1493326956371797,-0.016846978090964877
2023-03-14,0.031794596151862184,0.0323923788133764,0.016434693391335086,12,689804400.0,1.1858752645390949,-0.003772495301751319
2023-03-15,-0.008686781764569516,-0.01208984938217295,0.01687427009462185,12,761083700.0,1.1755738249160426,0.031794596151862184
2023-03-16,0.049486038039016265,0.04898916440680805,0.016986013582455287,12,888905200.0,1.2337483159335096,-0.008686781764569516
2023-03-17,-0.0017442426090884917,-0.00014072725501869995,0.008219295842753185,12,1204920600.0,1.2315963595519672,0.049486038039016265
2023-03-20,0.0069918886343567,0.009267771231280749,0.012161841069036528,12,637481300.0,1.2402075441404337,-0.0017442426090884917
2023-03-21,-0.0004227963133114837,-0.0050954085777466,0.018281714610337577,12,777945500.0,1.23968318896303,0.0069918886343567
2023-03-22,-0.0053441284030895245,-0.00807822932304825,0.011116388614367615,12,1040385200.0,1.23305816282206,-0.0004227963133114837
2023-03-23,0.03075490603771575,0.029831994449654148,0.012975768961964321,12,799649000.0,1.2709807507586908,-0.0053441284030895245
2023-03-24,-0.017120282011471016,-0.021132184170049,0.016196301793063285,12,659297900.0,1.2492212018745508,0.03075490603771575
2023-03-27,-0.010100509667945167,-0.00927927257401285,0.007700596274295169,12,524052700.0,1.2366034310476148,-0.017120282011471016
2023-03-28,-0.010512874475778007,-0.00828877107375365,0.009182500301806729,12,530102300.0,1.223603174400695,-0.010100509667945167
2023-03-29,0.03804292986465691,0.030623474482396502,0.023527426732205953,12,671361700.0,1.2701526241465924,-0.010512874475778007
2023-03-30,0.01582006027037273,0.0182751974443794,0.011320248900517959,12,595712600.0,1.2902465152131635,0.03804292986465691
2023-03-31,0.0023715026730326827,0.005922120391736,0.015656196625766106,12,649101400.0,1.2933063382728625,0.01582006027037273
2023-04-03,-0.008169223093442307,-0.0070120384538007,0.01170737660402271,12,585937900.0,1.2827410302673485,0.0023715026730326827
2023-04-04,-0.017246808935785,-0.01668722868700645,0.01325025581711261,12,545076000.0,1.2606178408042357,-0.008169223093442307
2023-04-05,-0.015032404749592351,-0.014673677299134852,0.011697746451577461,12,695481900.0,1.2416677231867093,-0.017246808935785
2023-04-06,-0.004138834231037942,-0.0007907391923374001,0.014275184705530323,12,546864800.0,1.2365286663104091,-0.015032404749592351
2023-04-10,0.019179053295965358,0.018979186231895602,0.02392013958002824,12,582386300.0,1.2602441155035653,-0.004138834231037942
2023-04-11,-0.005460959177396098,-0.0055103054820089,0.006547033865155108,12,470592200.0,1.2533619738352466,0.019179053295965358
2023-04-12,-0.019168772640558482,-0.020565789890795348,0.007536834187234257,12,609853700.0,1.229336563122477,-0.005460959177396098
2023-04-13,0.007736284984720259,0.0052929440452702,0.007847337744669116,12,506887800.0,1.238847061116929,-0.019168772640558482
2023-04-14,-0.0016067222598366833,-0.0030839411210379,0.005891006517006328,12,528024300.0,1.2368565779672993,0.007736284984720259
2023-04-17,-0.0050253954072143085,-0.00396416091844845,0.015525209392557898,12,467047400.0,1.2306408846009995,-0.0016067222598366833
2023-04-18,0.004536035991273408,0.00035164291294979995,0.01574090487100809,12,751829300.0,1.236223115945882,-0.0050253954072143085
2023-04-19,-0.011610171711975108,-0.0095528680904999,0.013842123800594904,12,506652700.0,1.2218703532954376,0.004536035991273408
2023-04-20,0.010451936716347433,0.00762273106978455,0.030560876380969222,12,626387000.0,1.2346412649036624,-0.011610171711975108
2023-04-21,-0.011575086731924583,-0.00904231417058515,0.012401927957787936,12,492201100.0,1.2203501851795895,0.010451936716347433
2023-04-24,-0.007553068039873583,-0.006048114829054,0.008841448653276537,12,480634100.0,1.2111327971984558,-0.011575086731924583
2023-04-25,-0.031153126141785944,-0.0283105749084218,0.008332477800980672,12,563920800.0,1.1734022243928783,-0.007553068039873583
2023-04-26,0.010673319648165216,0.00323910555597615,0.01826641106069674,12,587373300.0,1.1859263214096916,-0.031153126141785944
2023-04-27,0.02233414440658765,0.0158538877000653,0.02104175982696984,12,587679300.0,1.2124129711276288,0.010673319648165216
2023-04-28,0.019020565545534367,0.01614568618904575,0.011589788290411332,12,505666800.0,1.235473751513218,0.02233414440658765
2023-05-01,0.0002561380817275082,-0.0005924535862152,0.018981956203894795,12,732629200.0,1.235790203389955,0.019020565545534367
2023-05-02,-0.011458924387296399,-0.00968139493179925,0.012120998784447098,12,592054200.0,1.2216293768907478,0.0002561380817275082
2023-05-03,-0.010495077590603342,-0.0019369565548866502,0.02958708153811799,12,618954700.0,1.208808281793319,-0.011458924387296399
2023-05-04,-0.0008725513548693079,-0.004756008717527,0.026706915482738073,12,575582700.0,1.207753534489263,-0.010495077590603342
2023-05-05,0.026493578953982258,0.03240804726882735,0.014250489885564968,12,564438500.0,1.2397512481122053,-0.0008725513548693079
2023-05-08,0.00469676497787095,-0.00217667090272415,0.018162158590082272,12,530177300.0,1.2455740683556105,0.026493578953982258
2023-05-09,-0.01559080425521906,-0.01906292036876675,0.008985484860706041,12,483740100.0,1.2261545668705012,0.00469676497787095
2023-05-10,0.010533468004151949,0.01177443695727405,0.012670920842276808,12,582959500.0,1.2390702267687765,-0.01559080425521906
2023-05-11,-0.007013360807425192,-0.0051175077275601,0.01609487584812875,12,500327600.0,1.230380180202709,0.010533468004151949
2023-05-12,-0.00159347725998855,-0.0003602243798133,0.008232680133553815,12,411591900.0,1.2284195973644154,-0.007013360807425192
2023-05-15,0.033093617051727774,0.0280450373599021,0.015415754593077213,12,461635700.0,1.269072445098431,-0.00159347725998855
