date,ew_ret_mean,ew_ret_median,ret_xs_std,n_with_ret,total_volume,ew_cum_index,ew_ret_mean_lag1,nrc_anger_mean,nrc_anticipation_mean,nrc_disgust_mean,nrc_fear_mean,nrc_joy_mean,nrc_sadness_mean,nrc_surprise_mean,nrc_trust_mean,nrc_positive_mean,nrc_negative_mean,nrc_net_sentiment_mean,hf_very_negative_score_mean,hf_negative_score_mean,hf_neutral_score_mean,hf_very_positive_score_mean,hf_positive_score_mean,fb_neutral_score_mean,fb_positive_score_mean,fb_negative_score_mean,fb_net_sentiment_mean,n_calendar_source_days,nrc_anger_mean_lag1,nrc_anticipation_mean_lag1,nrc_disgust_mean_lag1,nrc_fear_mean_lag1,nrc_joy_mean_lag1,nrc_sadness_mean_lag1,nrc_surprise_mean_lag1,nrc_trust_mean_lag1,nrc_positive_mean_lag1,nrc_negative_mean_lag1,nrc_net_sentiment_mean_lag1,hf_very_negative_score_mean_lag1,hf_negative_score_mean_lag1,hf_neutral_score_mean_lag1,hf_very_positive_score_mean_lag1,hf_positive_score_mean_lag1,fb_neutral_score_mean_lag1,fb_positive_score_mean_lag1,fb_negative_score_mean_lag1,fb_net_sentiment_mean_lag1,n_calendar_source_days_lag1
2023-01-03,,,,0,560365600.0,1.0,,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333337,1.6666666666666663,0.3333333333333333,1.3333333333333337,0.0493,0.0779,0.3754999999999999,0.2100833333333333,0.28725,0.7424333333333335,0.2161833333333332,0.0413333333333333,0.17485,2,,,,,,,,,,,,,,,,,,,,,
2023-01-04,0.028957000302355942,0.02849510699840625,0.018408236656880274,12,607863900.0,1.028957000302356,,0.125,0.375,0.125,0.125,0.125,0.125,0.0,0.25,0.5,0.125,0.375,0.0538,0.10655,0.6704125,0.0607625,0.1084625,0.875075,0.0669375,0.058025,0.0089125,1,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1.3333333333333337,1.6666666666666663,0.3333333333333333,1.3333333333333337,0.0493,0.0779,0.3754999999999999,0.2100833333333333,0.28725,0.7424333333333335,0.2161833333333332,0.0413333333333333,0.17485,2.0
2023-01-05,-0.017107896789742855,-0.013389292888856149,0.016147046880085125,12,549807400.0,1.0113537101400998,0.028957000302355942,0.2,0.2,0.0,0.2,0.3,0.3,0.1,0.5,0.5,0.4,0.1,0.04721,0.1321,0.71472,0.03929,0.06671,0.79999,0.08639,0.11359,-0.0272,1,0.125,0.375,0.125,0.125,0.125,0.125,0.0,0.25,0.5,0.125,0.375,0.0538,0.10655,0.6704125,0.0607625,0.1084625,0.875075,0.0669375,0.058025,0.0089125,1.0
2023-01-06,0.04877593344543038,0.04822875958935755,0.014011969055801966,12,633053900.0,1.0606834313956823,-0.017107896789742855,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0223666666666666,0.036,0.7948,0.0857666666666666,0.0610666666666666,0.9167,0.0665,0.0168666666666666,0.0496333333333333,1,0.2,0.2,0.0,0.2,0.3,0.3,0.1,0.5,0.5,0.4,0.1,0.04721,0.1321,0.71472,0.03929,0.06671,0.79999,0.08639,0.11359,-0.0272,1.0
2023-01-09,0.020717820850197115,0.0220026806289872,0.022666110452110765,12,731585100.0,1.0826584807061104,0.04877593344543038,0.4464285714285714,0.5178571428571428,0.0,0.0714285714285714,0.3392857142857142,0.0,0.5178571428571428,0.4642857142857142,0.9285714285714286,0.1964285714285714,0.7321428571428572,0.1131374999999999,0.1356214285714285,0.5664053571428571,0.0843517857142857,0.1004642857142857,0.7003482142857143,0.2629446428571428,0.0366892857142857,0.2262553571428571,2,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0223666666666666,0.036,0.7948,0.0857666666666666,0.0610666666666666,0.9167,0.0665,0.0168666666666666,0.0496333333333333,1.0
2023-01-10,0.012306298716563975,0.0141073103793387,0.007474818597189249,12,546986100.0,1.0959819993777011,0.020717820850197115,0.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.0,0.6666666666666666,2.0,1.6666666666666667,0.0,1.6666666666666667,0.0175666666666666,0.0274,0.8661,0.0403666666666666,0.0486,0.7153333333333333,0.2727333333333333,0.0119333333333333,0.2608,1,0.4464285714285714,0.5178571428571428,0.0,0.0714285714285714,0.3392857142857142,0.0,0.5178571428571428,0.4642857142857142,0.9285714285714286,0.1964285714285714,0.7321428571428572,0.1131374999999999,0.1356214285714285,0.5664053571428571,0.0843517857142857,0.1004642857142857,0.7003482142857143,0.2629446428571428,0.0366892857142857,0.2262553571428571,2.0
2023-01-11,0.013989347804286968,0.013292896442615401,0.008900204637743032,12,515239400.0,1.1113140727542337,0.012306298716563975,0.25,1.0,0.5,0.75,1.0,0.5,0.25,1.75,1.5,1.0,0.5,0.23985,0.074325,0.61645,0.03455,0.0348,0.756675,0.10025,0.14305,-0.0428,1,0.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.0,0.6666666666666666,2.0,1.6666666666666667,0.0,1.6666666666666667,0.0175666666666666,0.0274,0.8661,0.0403666666666666,0.0486,0.7153333333333333,0.2727333333333333,0.0119333333333333,0.2608,1.0
2023-01-12,0.017038788854966885,0.0135514982326422,0.019674175447555325,12,767626100.0,1.1302495185914463,0.013989347804286968,0.0,0.2,0.0,0.0,0.6,0.0,0.4,1.0,1.8,0.2,1.6,0.06568,0.0908,0.72574,0.0464,0.07138,0.7689999999999999,0.0859399999999999,0.14504,-0.0591,1,0.25,1.0,0.5,0.75,1.0,0.5,0.25,1.75,1.5,1.0,0.5,0.23985,0.074325,0.61645,0.03455,0.0348,0.756675,0.10025,0.14305,-0.0428,1.0
2023-01-13,0.0041220769770664665,0.00011390026341894996,0.013370972981566934,12,615137400.0,1.1349084941103726,0.017038788854966885,0.5,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.1666666666666667,0.5,0.6666666666666666,0.1689833333333333,0.1940833333333333,0.37575,0.1738166666666666,0.0873666666666666,0.8443166666666667,0.1118333333333333,0.0438333333333333,0.0679999999999999,1,0.0,0.2,0.0,0.0,0.6,0.0,0.4,1.0,1.8,0.2,1.6,0.06568,0.0908,0.72574,0.0464,0.07138,0.7689999999999999,0.0859399999999999,0.14504,-0.0591,1.0
2023-01-17,0.004129400461263233,-0.000536126380262,0.017279479290824094,12,672610800.0,1.1395949857694436,0.0041220769770664665,0.1875,0.6875,0.125,0.25,0.5625,0.1875,0.75,1.1875,1.25,0.625,0.625,0.01983125,0.0445749999999999,0.76909375,0.0473749999999999,0.1191499999999999,0.6829000000000001,0.1587062499999999,0.1583937499999999,0.0003124999999999,4,0.5,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.1666666666666667,0.5,0.6666666666666666,0.1689833333333333,0.1940833333333333,0.37575,0.1738166666666666,0.0873666666666666,0.8443166666666667,0.1118333333333333,0.0438333333333333,0.0679999999999999,1.0
