<<<<<<< HEAD
﻿date,adj_close,volume,adj_return,marketcap_daily,ev_daily,p_s_ttm_x,eps_ttm_x,p_e_ttm_x,debt_equity_x,total_revenue_ttm,operating_income_ttm,gross_profit_ttm,net_income_ttm,total_debt,cash_and_cash_equivalents,quarterly_ebit_value_million,debt_to_equity_ratio,pe_ratio,price_to_book_ratio,price_to_sales_ratio,sentiment_index,diluted_average_shares
9/30/2024 0:00,261.63,80705700,0.004492104,9.15E+11,9.10E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,17.6,3497000000
10/1/2024 0:00,258.02,87397600,-0.013798172,9.02E+11,8.97E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,13.02941176,3497000000
10/2/2024 0:00,249.02,93983900,-0.034880959,8.71E+11,8.65E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,13.7755102,3497000000
10/3/2024 0:00,240.66,80729200,-0.033571603,8.42E+11,8.36E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,10.95121951,3497000000
10/4/2024 0:00,250.08,86573200,0.03914235,8.75E+11,8.69E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,18.79411765,3497000000
10/7/2024 0:00,240.83,68113300,-0.036988164,8.42E+11,8.37E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,11,3497000000
10/8/2024 0:00,244.5,56303200,0.015238958,8.55E+11,8.50E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,14.37142857,3497000000
10/9/2024 0:00,241.05,66289500,-0.014110417,8.43E+11,8.38E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,21.16216216,3497000000
10/10/2024 0:00,238.77,83087100,-0.009458613,8.35E+11,8.30E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,15.46341463,3497000000
10/11/2024 0:00,217.8,142628900,-0.087825107,7.62E+11,7.56E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,21.36363636,3497000000
10/14/2024 0:00,219.16,86291900,0.006244264,7.66E+11,7.61E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,14.15625,3497000000
10/15/2024 0:00,219.57,62988800,0.001870796,7.68E+11,7.63E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,17.88571429,3497000000
10/16/2024 0:00,221.33,49632800,0.008015642,7.74E+11,7.69E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,12.53333333,3497000000
10/17/2024 0:00,220.89,50791800,-0.001987993,7.72E+11,7.67E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,19.625,3497000000
10/18/2024 0:00,220.7,49611900,-0.000860168,7.72E+11,7.66E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,11.42592593,3497000000
10/21/2024 0:00,218.85,47329000,-0.008382378,7.65E+11,7.60E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,13.84615385,3497000000
10/22/2024 0:00,217.97,43268700,-0.004021041,7.62E+11,7.57E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,14.05714286,3497000000
10/23/2024 0:00,213.65,80938900,-0.019819275,7.47E+11,7.42E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,17.07142857,3497000000
10/24/2024 0:00,260.48,204491900,0.219190351,9.11E+11,9.06E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,19.425,3497000000
10/25/2024 0:00,269.19,161611900,0.033438234,9.41E+11,9.36E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,19.05882353,3497000000
10/28/2024 0:00,262.51,107653600,-0.024815159,9.18E+11,9.13E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,13.2,3497000000
10/29/2024 0:00,259.52,80521800,-0.011390121,9.08E+11,9.02E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,17.53846154,3497000000
10/30/2024 0:00,257.55,53993600,-0.007590942,9.01E+11,8.95E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,16.96296296,3497000000
10/31/2024 0:00,249.85,66575300,-0.029897038,8.74E+11,8.68E+11,16.49133115,1.116557779,234.3183755,0.180780653,50682000000,4999000000,9575000000,3567000000,12783000000,18111000000,2717,0.7,71.68,11.88,9.39,6.135135135,3497000000
