language_code,language_name,n_rows,nrc_net_sentiment_n,nrc_net_sentiment_mean,nrc_net_sentiment_std,nrc_net_sentiment_ci95,hf_net_4_n,hf_net_4_mean,hf_net_4_std,hf_net_4_ci95,fb_net_sentiment_n,fb_net_sentiment_mean,fb_net_sentiment_std,fb_net_sentiment_ci95
en,English,205051,205051,0.46449907583966915,1.350709118667225,0.005846378887628111,205051,-0.1051988939337043,0.35099964748298945,0.0015192589583124228,205051,0.01626821961365709,0.4258992172158417,0.0018434525667857659
de,German,1312,1312,0.027439024390243903,0.661120443162682,0.03577418433428957,1312,0.027477591463414636,0.1819323480126225,0.009844622748372849,1312,0.03448506097560976,0.2511854422484619,0.01359200794048861
fr,French,673,673,0.30460624071322434,0.7525311659558062,0.05685557160378834,673,-0.08864546805349183,0.2704705191681776,0.02043470977012428,673,-0.02141263001485884,0.2728022145763215,0.02061087506564074
nl,Dutch,580,580,0.11379310344827587,0.6000714626014921,0.04883655810711096,580,-0.038417931034482766,0.3199481044208299,0.026038838982723873,580,0.01956137931034483,0.2715680648431509,0.022101450252694017
it,Italian,1482,1482,0.26180836707152494,0.7108773637678448,0.0361931726815897,1482,-0.03416646423751687,0.26532525924984546,0.013508606989423431,1482,0.002205060728744939,0.21362153242789694,0.010876195256364435
pt,Portuguese,403,403,-0.007444168734491315,0.4201920536193741,0.04102526389729386,403,-0.03160124069478909,0.26046353699305874,0.025430241359210005,403,0.08221439205955335,0.24608382686008565,0.02402628476866916
sv,Swedish,538,538,-0.20074349442379183,0.5565250367932338,0.047027256192452696,538,-0.03420334572490706,0.29215311581434994,0.02468740580655899,538,-0.014265799256505578,0.3428683744238979,0.028972926316544245
ca,Catalan,929,929,0.271259418729817,0.9247801617141734,0.05946846369395119,929,-0.010285145317545749,0.23309717323756204,0.014989433551587135,929,0.04472723358449946,0.24288755975162998,0.015619009389246106
