dataset,spec,n,r2,coef_sentiment,se_sentiment,t_sentiment,pvalue_sentiment,hac_maxlags,note
firm_NVDA_hf,A_bivariate,767,0.0003371767126955083,0.005616010542828408,0.011279410101932444,0.49789931318006125,0.6185550114305718,6,
firm_NVDA_hf,B_plus_soxx_spy_vix,767,0.5662326897047281,0.003825232253720472,0.006426562394920564,0.595222145006149,0.551694989480212,6,
firm_AMD_hf,A_bivariate,767,5.7571963825386874e-05,-0.0024803014656046398,0.01353715233442824,-0.18322180354701598,0.8546239871881007,6,
firm_AMD_hf,B_plus_soxx_spy_vix,767,0.5692306400340175,-0.0025946166274413308,0.007327087588374884,-0.3541129536322092,0.7232542346795703,6,
firm_INTC_hf,A_bivariate,767,6.908297217567139e-05,0.00278669718055675,0.009723493189829412,0.28659424408005774,0.7744230221996062,6,
firm_INTC_hf,B_plus_soxx_spy_vix,767,0.310650569556702,0.0014966622056405412,0.006592194605192833,0.22703550111545306,0.8203961369664544,6,
universe_pooled_hf,A_bivariate,778,0.00014669060269778544,0.0026087445948238357,0.008491458412548494,0.30721985177112676,0.7586760361909357,6,
universe_pooled_hf,B_plus_soxx_spy_vix,778,0.9638174559969948,0.0003074483352199309,0.0014890692582943614,0.20647013797873603,0.8364236886294188,6,
pooled_broad_x_SOXX_return,A_bivariate,778,0.00013505973049832143,0.002380445986006587,0.008162533335839946,0.2916307827564459,0.7705689367876775,6,
pooled_broad_x_SOXX_return,B_plus_other_benchmark_controls,778,0.6577849012821688,-0.004005816827049039,0.004031785511273584,-0.9935590114722295,0.32043760759288886,6,
pooled_broad_x_SPY_return,A_bivariate,778,0.0014934247283048263,0.003484983941759634,0.003439130710116926,1.013332797008215,0.3109012270451684,6,
pooled_broad_x_SPY_return,B_plus_other_benchmark_controls,778,0.7831552684132215,0.0014443039742886646,0.00146997703935798,0.9825350570914168,0.3258363208104458,6,
stacked_NVDA_AMD_INTC,A_bivariate_plus_ticker_dummies,2301,0.0009435673367524933,0.001974135419260172,0.00653460525059338,0.3021047704573905,0.7625721959577912,8,HAC on sorted rows; panel clustering optional follow-up
stacked_NVDA_AMD_INTC,B_plus_controls_and_ticker_dummies,2301,0.46705789242421614,0.0009090926106398722,0.003936834976306876,0.23091966417466836,0.8173772137503102,8,
