ticker,model,sentiment_column,pearson_corr_sent_t_vs_ret_t1,spearman_corr_sent_t_vs_ret_t1,n_pairs
NVDA,NRC,nrc_anger,-0.017653680590035064,-0.05125731251992216,778
NVDA,NRC,nrc_anticipation,-0.018198810503234627,-0.010026954252604053,778
NVDA,NRC,nrc_disgust,0.0010212579522308645,-0.012104600821578031,778
NVDA,NRC,nrc_fear,0.0062463115212843855,0.000694376992423644,778
NVDA,NRC,nrc_joy,-0.011795480389359082,-0.024369364844369686,778
NVDA,NRC,nrc_sadness,0.004835433161870547,0.01803439213348571,778
NVDA,NRC,nrc_surprise,-0.03824199747622018,-0.03030502418193058,778
NVDA,NRC,nrc_trust,0.01917948232557562,-0.007547862901440758,778
NVDA,NRC,nrc_positive,0.017278089915386825,0.013376090609571073,778
NVDA,NRC,nrc_negative,-0.008332049973996317,-0.04590766231768384,778
NVDA,NRC,nrc_net_sentiment,0.023109381996814768,0.010872294259709838,778
NVDA,HF,hf_neutral_score,0.012271976573596534,0.017292559178977682,778
NVDA,HF,hf_negative_score,-0.024323621674399422,-0.05043696932315588,778
NVDA,HF,hf_very_negative_score,-0.015306764399159222,-0.05046819853037322,778
NVDA,HF,hf_positive_score,-0.02073891748477931,-0.061135137384832575,778
NVDA,HF,hf_very_positive_score,0.0430368274704092,0.03968019225271858,778
NVDA,HF,hf_net_4,0.026536896093464126,0.042380426463243075,778
NVDA,FinBERT,fb_negative_score,0.02833631562322857,-0.028801888176685116,778
NVDA,FinBERT,fb_neutral_score,0.007508019063215097,0.049258821381456215,778
NVDA,FinBERT,fb_positive_score,-0.043978292454344335,-0.05248487580988216,778
NVDA,FinBERT,fb_net_sentiment,-0.04586106378971964,-0.017133012717622874,778
AMD,NRC,nrc_anger,0.016297596984732276,0.005006290728698103,778
AMD,NRC,nrc_anticipation,0.04993755462646445,0.052832662658551466,778
AMD,NRC,nrc_disgust,0.012399655435227001,0.019386279636109255,778
AMD,NRC,nrc_fear,0.014081582404258424,0.028923960078713958,778
AMD,NRC,nrc_joy,0.039153505785280145,0.03439450525207311,778
AMD,NRC,nrc_sadness,0.038719998399373734,0.04670740364527651,778
AMD,NRC,nrc_surprise,0.022532260332155312,0.02942068517633136,778
AMD,NRC,nrc_trust,0.023863133851703848,0.029551377398482147,778
AMD,NRC,nrc_positive,0.04380265150567155,0.06702197909183356,778
AMD,NRC,nrc_negative,0.0003588048274995828,-0.000320350675229845,778
AMD,NRC,nrc_net_sentiment,0.04313540077949283,0.040581676530230766,778
AMD,HF,hf_neutral_score,0.013346197946102019,0.015880379020312137,778
AMD,HF,hf_negative_score,-0.020587190337931455,-0.02332428264758621,778
AMD,HF,hf_very_negative_score,0.010392051326180084,-0.011085528241860803,778
AMD,HF,hf_positive_score,-0.035390103384489786,-0.0646929242052833,778
AMD,HF,hf_very_positive_score,0.02268670377768117,0.015804033350156926,778
AMD,HF,hf_net_4,0.0010322943483636496,0.00050077066289929,778
AMD,FinBERT,fb_negative_score,0.0025217561016271143,-0.009274150988389787,778
AMD,FinBERT,fb_neutral_score,-0.003673235072463522,0.014953272266442514,778
AMD,FinBERT,fb_positive_score,0.0021297319641089656,-0.01075278955429831,778
AMD,FinBERT,fb_net_sentiment,-0.0005045383884922846,0.0074059601863687916,778
INTC,NRC,nrc_anger,0.01616695327533816,0.02095073956408232,778
INTC,NRC,nrc_anticipation,0.0499116595151386,0.03171516230368589,778
INTC,NRC,nrc_disgust,0.013387689573349447,0.007741945755595025,778
INTC,NRC,nrc_fear,0.004167146874541215,0.005074478798613177,778
INTC,NRC,nrc_joy,0.05397522067369208,0.058468556029031254,778
INTC,NRC,nrc_sadness,0.03574041186239305,0.050590157586105605,778
INTC,NRC,nrc_surprise,-0.001846260621361963,0.008143810162461204,778
INTC,NRC,nrc_trust,0.044752279993405454,0.035252871822395664,778
INTC,NRC,nrc_positive,0.05767869515740184,0.05789150563007176,778
INTC,NRC,nrc_negative,0.014356049287893174,0.011525680124113487,778
INTC,NRC,nrc_net_sentiment,0.0468145209250305,0.021433261830080153,778
INTC,HF,hf_neutral_score,0.013498861765685183,0.016148035574658312,778
INTC,HF,hf_negative_score,-0.018049435837825634,-0.02761243873942989,778
INTC,HF,hf_very_negative_score,-0.006057858477434838,-0.009191676835326039,778
INTC,HF,hf_positive_score,-0.01087427046664535,-0.04048481782700298,778
INTC,HF,hf_very_positive_score,0.005859929034334095,0.024349358054617964,778
INTC,HF,hf_net_4,0.010491334813498596,0.0187895839036916,778
INTC,FinBERT,fb_negative_score,-0.07422282912788747,-0.03358072404792222,778
INTC,FinBERT,fb_neutral_score,0.031858906751851074,0.02481316611392111,778
INTC,FinBERT,fb_positive_score,0.04337361503867503,0.00696327721209805,778
INTC,FinBERT,fb_net_sentiment,0.07761962648733366,0.033246354110319676,778
